MSSubClass,LotFrontage,LotShape,LotConfig,KitchenQual
50,[64-84],Reg,Inside,TA,C1
70,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
50,[85-105],Reg,Corner,TA,C1
50,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,Corner,TA,C1
160,[1-21],Reg,Inside,TA,C1
75,[85-105],Reg,Corner,TA,C1
160,[22-42],Reg,Inside,TA,C1
190,[43-63],Reg,Inside,TA,C1
30,[43-63],Reg,Inside,TA,C2
70,[43-63],Reg,Inside,TA,C2
80,[85-105],Reg,Inside,TA,C2
50,[43-63],Reg,Corner,TA,C2
70,[43-63],Reg,Corner,TA,C2
30,[43-63],Reg,Inside,TA,C2
20,[64-84],Reg,Inside,Gd,C2
50,[43-63],Reg,Inside,TA,C2
30,[43-63],Reg,Inside,TA,C2
70,[43-63],Reg,Inside,TA,C2
30,[43-63],Reg,Corner,TA,C2
30,[43-63],Reg,Inside,Fa,C2
20,[64-84],Reg,Inside,Gd,C2
45,[43-63],Reg,Inside,Gd,C2
30,[22-42],Reg,Inside,TA,C2
90,[106-126],IR2,Corner,TA,C2
50,[43-63],Reg,Corner,TA,C2
20,[85-105],IR1,Inside,TA,C2
20,[64-84],Reg,Inside,TA,C2
20,0,Reg,Corner,TA,C2
30,[43-63],Reg,Inside,Gd,C2
20,[64-84],Reg,Inside,TA,C2
20,0,IR1,FR2,TA,C2
50,[43-63],Reg,Corner,TA,C2
30,0,Reg,Inside,Gd,C2
20,[43-63],Reg,Inside,TA,C2
20,[64-84],Reg,Corner,TA,C2
190,[22-42],Reg,Inside,TA,C2
50,[43-63],Reg,Inside,TA,C2
160,[1-21],Reg,Inside,TA,C2
20,[64-84],Reg,Inside,TA,C2
20,[43-63],Reg,Inside,TA,C2
50,[43-63],Reg,Inside,TA,C2
30,[43-63],Reg,Inside,TA,C2
20,[85-105],Reg,Inside,TA,C2
20,[43-63],Reg,Inside,Fa,C2
50,0,Reg,Inside,TA,C2
20,[64-84],IR1,Inside,TA,C2
50,[22-42],Reg,Inside,TA,C2
20,[64-84],Reg,Inside,TA,C2
50,[43-63],Reg,Corner,Gd,C2
20,[85-105],Reg,Inside,Gd,C2
50,[43-63],Reg,Corner,TA,C2
50,[43-63],Reg,Inside,TA,C2
190,[43-63],Reg,Corner,TA,C2
20,[64-84],Reg,Inside,TA,C2
160,[1-21],Reg,Inside,TA,C2
90,[64-84],Reg,Inside,TA,C2
75,[43-63],Reg,Inside,TA,C2
90,[64-84],Reg,Inside,TA,C2
90,0,IR1,Inside,TA,C2
45,[43-63],Reg,Inside,TA,C2
20,[43-63],Reg,Inside,TA,C2
20,[43-63],Reg,Corner,TA,C2
160,[64-84],Reg,Corner,TA,C2
20,[43-63],Reg,Inside,Gd,C2
30,[43-63],Reg,Inside,TA,C2
50,[43-63],Reg,Corner,TA,C2
20,[43-63],Reg,Inside,Gd,C2
20,[43-63],Reg,FR2,TA,C2
30,0,Reg,Inside,Fa,C2
20,0,IR1,Inside,TA,C2
20,[106-126],Reg,Corner,TA,C2
20,0,IR1,Inside,TA,C2
70,[43-63],Reg,Inside,TA,C2
160,[22-42],Reg,Inside,TA,C2
20,[64-84],Reg,Inside,TA,C2
20,[43-63],Reg,Inside,TA,C2
85,[64-84],Reg,Inside,TA,C2
20,[43-63],Reg,Inside,TA,C2
20,[43-63],Reg,Inside,TA,C2
70,[43-63],Reg,Corner,Ex,C2
160,[22-42],Reg,Inside,TA,C2
90,[64-84],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
90,[43-63],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
20,[43-63],Reg,Inside,TA,C3
90,[64-84],Reg,Inside,TA,C3
80,[64-84],Reg,Inside,TA,C3
20,0,IR1,Inside,TA,C3
50,[22-42],Reg,Inside,Gd,C3
50,[43-63],Reg,Inside,TA,C3
90,[64-84],Reg,Inside,Gd,C3
20,[64-84],Reg,Inside,TA,C3
20,[43-63],Reg,Inside,TA,C3
20,[64-84],IR1,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
50,[43-63],Reg,Inside,TA,C3
70,[43-63],Reg,Inside,Gd,C3
160,[22-42],Reg,Inside,TA,C3
190,[43-63],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
90,[22-42],IR1,CulDSac,TA,C3
120,[43-63],Reg,Inside,TA,C3
120,0,IR1,Inside,TA,C3
70,[43-63],IR1,FR3,TA,C3
70,[64-84],Reg,Corner,Fa,C3
75,[22-42],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
50,0,IR1,Inside,TA,C3
20,0,IR1,Inside,TA,C3
20,[64-84],IR1,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
20,[64-84],IR1,Inside,TA,C3
190,[43-63],Reg,Inside,TA,C3
20,[85-105],Reg,Corner,Fa,C3
85,[64-84],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
75,[43-63],Reg,Inside,TA,C3
160,[22-42],Reg,Inside,Gd,C3
160,[22-42],Reg,Inside,Gd,C3
80,[85-105],IR1,Inside,Gd,C3
20,[64-84],Reg,Inside,Gd,C3
30,[43-63],Reg,Inside,Fa,C3
70,[43-63],Reg,Inside,TA,C3
160,[22-42],Reg,Inside,Gd,C3
50,[43-63],Reg,Inside,TA,C3
20,[64-84],Reg,Corner,TA,C3
50,[64-84],Reg,Inside,TA,C3
120,[22-42],Reg,Inside,Gd,C3
190,[64-84],Reg,Inside,TA,C3
20,[43-63],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
70,[43-63],Reg,Inside,TA,C3
20,[85-105],Reg,Inside,TA,C3
20,[64-84],Reg,Corner,TA,C3
20,[64-84],Reg,Inside,TA,C3
50,[43-63],Reg,Inside,TA,C3
80,[43-63],IR1,Inside,TA,C3
50,[64-84],Reg,Inside,Fa,C3
120,[22-42],Reg,Inside,TA,C3
20,[64-84],Reg,Corner,TA,C3
20,[64-84],Reg,Inside,TA,C3
190,[43-63],Reg,Corner,TA,C3
85,[43-63],Reg,Inside,TA,C3
120,[43-63],Reg,Inside,TA,C3
20,[64-84],Reg,Corner,TA,C3
20,[43-63],Reg,Corner,Gd,C3
60,[43-63],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
50,[43-63],Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
20,0,Reg,Inside,TA,C3
20,[64-84],Reg,Inside,TA,C3
80,[64-84],Reg,Inside,TA,C3
90,0,IR1,Corner,TA,M1
20,[64-84],Reg,Corner,TA,M1
90,[43-63],Reg,FR2,TA,M1
20,0,IR1,CulDSac,TA,M1
50,[43-63],Reg,Inside,TA,M1
120,[22-42],Reg,Inside,Gd,M1
90,0,IR1,Corner,TA,M1
85,[64-84],IR1,Inside,TA,M1
50,[43-63],Reg,Inside,Gd,M1
85,[64-84],Reg,Inside,Gd,M1
85,[85-105],Reg,Inside,TA,M1
30,[64-84],Reg,Inside,Fa,M1
70,[43-63],Reg,Inside,TA,M1
20,[85-105],Reg,Inside,TA,M1
50,[43-63],Reg,Inside,TA,M1
70,[85-105],Reg,Inside,TA,M1
20,[64-84],Reg,Inside,TA,M1
20,[64-84],Reg,Inside,TA,M1
50,[43-63],Reg,Inside,TA,M1
20,[64-84],Reg,Corner,TA,M1
20,[43-63],Reg,Corner,TA,M1
90,[85-105],Reg,Corner,TA,M1
20,[64-84],Reg,Corner,TA,M1
50,[43-63],Reg,Inside,TA,M1
20,0,IR1,CulDSac,TA,M1
20,[64-84],Reg,Inside,TA,M1
70,[43-63],IR1,Corner,Gd,M1
70,[43-63],IR1,Inside,TA,M1
20,[64-84],Reg,Inside,TA,M1
20,[64-84],Reg,Corner,TA,M1
190,[64-84],Reg,Inside,Gd,M1
190,[64-84],Reg,Inside,TA,M1
20,[64-84],Reg,Inside,TA,M1
50,[64-84],Reg,Inside,TA,M1
50,[43-63],Reg,Inside,TA,M1
50,[64-84],Reg,Inside,Fa,M1
20,0,IR1,Inside,TA,M1
20,[127-147],Reg,Corner,TA,M1
20,[64-84],IR1,Inside,TA,M1
90,[64-84],Reg,Corner,TA,M1
50,[43-63],Reg,Corner,TA,M1
20,[64-84],Reg,Inside,TA,M1
20,[64-84],IR1,Inside,Gd,M1
20,0,IR1,Inside,TA,M1
20,[64-84],Reg,Inside,Gd,M1
80,[22-42],IR1,CulDSac,TA,M1
90,[64-84],IR1,Inside,TA,M1
90,[64-84],Reg,Inside,TA,M1
50,[85-105],IR1,Inside,TA,M1
120,[43-63],Reg,Inside,TA,M1
80,[64-84],Reg,Inside,TA,M1
70,[43-63],Reg,Inside,TA,M1
20,0,Reg,Inside,TA,M1
20,0,IR1,CulDSac,Gd,M1
120,0,IR1,Inside,TA,M1
20,0,IR2,Inside,TA,M1
90,[64-84],Reg,Inside,TA,M1
20,[64-84],Reg,Inside,Gd,M1
75,[64-84],IR1,Corner,TA,M1
120,0,Reg,Inside,Gd,M1
160,[22-42],Reg,Inside,Gd,M1
120,0,Reg,Inside,Gd,M1
20,[64-84],Reg,Inside,TA,M1
20,[85-105],Reg,Inside,TA,M1
20,[64-84],Reg,Inside,TA,M1
90,[64-84],Reg,Corner,TA,M1
80,0,IR1,CulDSac,TA,M1
80,[64-84],Reg,Inside,TA,M1
180,[22-42],Reg,Inside,TA,M1
90,[64-84],Reg,Inside,TA,M1
160,[22-42],Reg,Corner,Gd,M1
20,[64-84],Reg,Corner,Gd,M1
160,[22-42],Reg,Inside,TA,M1
80,0,IR1,Inside,TA,M2
20,[85-105],Reg,Inside,Gd,M2
20,[64-84],Reg,Inside,TA,M2
20,[64-84],Reg,Inside,TA,M2
20,0,IR1,Corner,TA,M2
85,[43-63],IR1,CulDSac,TA,M2
80,0,IR1,FR2,TA,M2
85,[85-105],IR1,Inside,Gd,M2
20,[64-84],Reg,Inside,TA,M2
20,0,IR1,Inside,TA,M2
160,0,IR2,FR2,Gd,M2
120,0,Reg,Inside,Gd,M2
20,0,IR1,CulDSac,Gd,M2
60,[64-84],Reg,Inside,TA,M2
20,[85-105],Reg,Inside,TA,M2
20,[64-84],Reg,Corner,TA,M2
20,[127-147],Reg,Inside,Fa,M2
20,[64-84],Reg,Inside,Ex,M2
20,[43-63],IR1,Inside,Gd,M2
20,[64-84],Reg,Corner,Gd,M2
90,[43-63],IR1,Inside,TA,M2
160,[22-42],Reg,Inside,TA,M2
160,[22-42],Reg,Inside,Gd,M2
20,[64-84],Reg,FR2,TA,M2
160,[22-42],Reg,Inside,TA,M2
20,0,IR1,CulDSac,TA,M2
40,[22-42],Reg,Corner,Gd,M2
60,[64-84],Reg,Inside,TA,M2
20,[64-84],Reg,Corner,TA,M2
80,[64-84],Reg,Inside,TA,M2
20,[64-84],IR1,Inside,TA,M2
120,[22-42],Reg,FR2,TA,M2
120,[43-63],Reg,Inside,Gd,M2
50,[85-105],IR1,Inside,TA,M2
160,[22-42],Reg,Inside,Gd,M2
20,[64-84],Reg,Inside,Gd,M2
90,[64-84],Reg,Corner,TA,M2
50,[43-63],IR1,FR2,TA,M2
20,[64-84],IR1,Inside,TA,M2
70,[43-63],Reg,Inside,Gd,M2
20,[64-84],Reg,Inside,TA,M2
80,[64-84],Reg,Inside,TA,M2
160,[22-42],Reg,FR2,Gd,M2
20,[43-63],IR2,CulDSac,TA,M2
85,0,IR1,CulDSac,TA,M2
20,[64-84],Reg,Inside,TA,M2
60,[64-84],IR1,Inside,Gd,M2
20,0,IR1,Corner,TA,M2
190,[85-105],Reg,Corner,TA,M2
20,0,IR1,Inside,TA,M2
70,[43-63],Reg,Inside,Gd,M2
20,[64-84],Reg,Inside,TA,M2
80,0,IR1,Corner,TA,M2
60,[64-84],Reg,Corner,TA,M2
60,0,IR1,CulDSac,TA,M2
50,[64-84],IR1,Inside,Gd,M2
20,0,IR1,Inside,TA,M2
70,[43-63],Reg,Inside,TA,M2
60,[64-84],IR1,Corner,TA,M2
20,[64-84],Reg,Corner,TA,M2
20,[43-63],Reg,Inside,Gd,M2
50,[64-84],IR1,Inside,TA,M2
50,[127-147],IR1,Inside,TA,M2
20,0,IR1,Inside,TA,M2
20,[64-84],Reg,Inside,TA,M2
70,[43-63],Reg,Inside,Gd,M2
50,0,Reg,Inside,TA,M2
20,0,IR1,Corner,Gd,M2
60,0,Reg,Inside,Gd,M2
120,[22-42],Reg,FR2,TA,M2
60,0,IR1,CulDSac,TA,M2
20,0,IR1,CulDSac,TA,M2
75,[43-63],Reg,Inside,TA,M2
20,[64-84],Reg,Inside,TA,M3
60,[64-84],Reg,Inside,Gd,M3
120,[22-42],Reg,FR2,TA,M3
160,[22-42],IR1,Inside,Gd,M3
20,[64-84],IR1,Inside,Gd,M3
80,[85-105],IR1,Corner,TA,M3
20,0,IR1,Inside,TA,M3
20,0,Reg,Inside,TA,M3
160,0,Reg,FR2,Gd,M3
70,[43-63],Reg,Inside,Gd,M3
120,0,Reg,FR2,TA,M3
85,0,IR1,Corner,Gd,M3
60,0,IR1,Inside,Gd,M3
50,[64-84],Reg,Corner,TA,M3
120,[43-63],Reg,Inside,Gd,M3
70,[43-63],IR1,Corner,Gd,M3
80,[64-84],Reg,Inside,Gd,M3
60,[64-84],Reg,Inside,TA,M3
20,[64-84],Reg,Inside,TA,M3
190,0,Reg,Inside,TA,M3
80,[64-84],Reg,Corner,TA,M3
60,[43-63],IR1,Inside,TA,M3
60,[64-84],Reg,Inside,TA,M3
80,0,IR1,Inside,TA,M3
20,[64-84],Reg,Inside,Gd,M3
80,[64-84],IR1,Inside,TA,M3
20,[85-105],Reg,Inside,TA,M3
120,0,Reg,Inside,Gd,M3
85,[85-105],Reg,Inside,Gd,M3
60,[64-84],Reg,Inside,TA,M3
80,[64-84],Reg,Inside,TA,M3
20,[64-84],Reg,Inside,TA,M3
60,0,IR1,Inside,TA,M3
160,[22-42],Reg,Inside,Gd,M3
50,0,Reg,Inside,Gd,M3
160,[22-42],Reg,Inside,TA,M3
60,[64-84],Reg,Inside,TA,M3
60,[85-105],IR1,Corner,TA,M3
80,0,IR1,CulDSac,Gd,M3
60,[64-84],IR1,Inside,Gd,M3
60,0,Reg,Inside,Gd,M3
60,[43-63],IR1,Inside,TA,M3
160,[22-42],Reg,Inside,Gd,M3
60,[64-84],Reg,Inside,Gd,M3
60,[106-126],IR2,Inside,Gd,M3
60,[148-168],IR2,Inside,Gd,M3
160,[22-42],Reg,Inside,Gd,M3
20,[64-84],Reg,Inside,Gd,M3
70,[64-84],Reg,Inside,Fa,M3
80,[64-84],Reg,Inside,TA,M3
20,[127-147],IR1,Corner,Gd,M3
80,[85-105],Reg,Inside,Gd,M3
80,[64-84],IR1,Inside,TA,M3
20,0,IR1,Corner,Ex,M3
60,[43-63],Reg,Inside,TA,M3
160,[22-42],Reg,Inside,Gd,M3
20,[43-63],IR1,Inside,Gd,M3
20,[43-63],Reg,Inside,TA,M3
20,[43-63],Reg,Inside,Gd,M3
20,[64-84],IR1,Inside,Gd,M3
160,0,Reg,Inside,Gd,M3
160,0,Reg,Inside,Gd,M3
60,[64-84],IR1,Inside,Gd,M3
60,0,IR1,Corner,TA,M3
60,[43-63],IR1,Inside,TA,M3
20,[64-84],Reg,Inside,Gd,M3
80,[64-84],Reg,Inside,TA,M3
120,0,Reg,Inside,Gd,M3
60,[43-63],IR1,Inside,TA,M3
90,[43-63],Reg,Inside,TA,M3
20,[64-84],Reg,Inside,TA,M3
120,[43-63],Reg,Inside,Gd,M3
20,0,Reg,Inside,Gd,M3
160,[22-42],Reg,Inside,TA,M4
75,[43-63],Reg,Inside,Gd,M4
60,[64-84],IR1,Inside,Gd,M4
60,[85-105],Reg,Inside,TA,M4
80,[85-105],Reg,Inside,Gd,M4
20,0,Reg,Inside,TA,M4
80,0,IR1,CulDSac,TA,M4
20,[64-84],IR1,Inside,TA,M4
60,[43-63],Reg,Inside,Gd,M4
20,[85-105],Reg,Inside,TA,M4
20,[43-63],IR1,CulDSac,TA,M4
20,[85-105],IR1,Inside,TA,M4
70,[43-63],Reg,Inside,TA,M4
80,0,IR1,Corner,TA,M4
20,[43-63],IR1,CulDSac,TA,M4
60,[85-105],IR1,Corner,TA,M4
60,0,Reg,Inside,TA,M4
20,[64-84],Reg,FR2,TA,M4
20,0,IR1,CulDSac,Gd,M4
20,[85-105],Reg,Corner,Gd,M4
20,0,IR1,Corner,Gd,M4
60,0,IR1,Inside,Gd,M4
60,[43-63],IR1,Inside,Gd,M4
50,[43-63],Reg,Inside,TA,M4
60,[43-63],IR1,Inside,Gd,M4
60,[127-147],IR1,Inside,Ex,M4
60,[64-84],IR1,Corner,TA,M4
60,0,IR2,CulDSac,TA,M4
20,[64-84],Reg,Inside,Gd,M4
60,[64-84],Reg,Inside,Gd,M4
20,[64-84],Reg,FR2,Gd,M4
20,0,IR1,Inside,Gd,M4
20,[43-63],Reg,Inside,TA,M4
60,[64-84],IR1,Corner,Gd,M4
20,[64-84],IR2,Inside,Gd,M4
80,0,Reg,Inside,TA,M4
60,0,IR2,Corner,TA,M4
60,0,Reg,Inside,TA,M4
60,[64-84],IR1,Inside,Gd,M4
70,[64-84],IR1,Inside,TA,M4
60,[43-63],Reg,Inside,Gd,M4
20,[64-84],IR1,Inside,Gd,M4
50,[43-63],Reg,Corner,Gd,M4
20,[85-105],IR1,Inside,TA,M4
120,0,IR1,Inside,Gd,M4
20,[127-147],IR1,Corner,Gd,M4
60,[64-84],IR1,Inside,Gd,M4
20,[43-63],Reg,FR2,Gd,M4
20,0,IR1,Inside,TA,M4
20,[85-105],IR1,CulDSac,Gd,M4
60,[64-84],Reg,Inside,Gd,M4
120,[43-63],Reg,Inside,Gd,M4
70,[64-84],IR1,Inside,TA,M4
60,[64-84],Reg,Inside,TA,M4
120,[43-63],Reg,Inside,Gd,M4
120,[43-63],Reg,Inside,Gd,M4
60,[64-84],IR1,Inside,Gd,M4
120,[43-63],Reg,Inside,Gd,M4
60,[43-63],IR1,Inside,TA,M4
60,[85-105],Reg,Corner,Gd,M4
20,[64-84],Reg,Inside,Gd,M4
20,[64-84],Reg,Inside,Gd,M4
80,0,IR1,FR2,Gd,M4
20,[64-84],Reg,Inside,Gd,M4
60,0,IR1,Corner,Gd,M4
120,[43-63],IR1,Corner,Gd,M4
60,[22-42],IR2,FR2,Gd,M4
20,[64-84],Reg,Inside,Gd,M4
60,[85-105],IR1,Corner,Gd,M4
60,[64-84],Reg,Inside,TA,M4
120,[22-42],IR1,Inside,Gd,M4
60,0,IR1,CulDSac,Gd,M4
85,[64-84],Reg,Corner,Gd,M4
120,[22-42],IR1,Inside,Gd,E1
60,0,IR1,Inside,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
20,[85-105],IR1,Corner,Gd,E1
60,[64-84],Reg,Inside,Gd,E1
50,[127-147],IR1,Inside,Ex,E1
20,0,IR1,CulDSac,TA,E1
60,[64-84],IR1,Inside,Gd,E1
120,[43-63],IR1,Inside,Gd,E1
20,[85-105],Reg,Corner,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
60,0,IR1,Corner,TA,E1
20,[64-84],IR1,Inside,Gd,E1
20,0,IR1,Inside,Gd,E1
60,0,IR1,Inside,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
60,[85-105],Reg,Inside,TA,E1
120,[43-63],Reg,FR3,Gd,E1
20,[43-63],IR1,CulDSac,TA,E1
160,0,IR1,CulDSac,Gd,E1
20,[64-84],Reg,Inside,TA,E1
20,[64-84],IR1,Inside,Gd,E1
120,[43-63],Reg,Corner,Gd,E1
60,[64-84],Reg,Inside,Gd,E1
60,[64-84],Reg,Inside,Gd,E1
50,[64-84],IR1,Inside,TA,E1
60,0,IR1,CulDSac,TA,E1
60,[64-84],IR1,Inside,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
60,[64-84],IR1,Inside,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
20,[64-84],IR1,Inside,Gd,E1
60,[64-84],Reg,Corner,Gd,E1
20,[127-147],IR1,Corner,TA,E1
60,[64-84],IR1,CulDSac,Gd,E1
120,0,Reg,Inside,Gd,E1
60,[43-63],IR1,CulDSac,TA,E1
60,0,Reg,Inside,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
20,[85-105],IR1,Corner,Gd,E1
60,0,Reg,Inside,Gd,E1
20,0,IR1,Inside,Gd,E1
20,[85-105],Reg,Corner,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
60,[64-84],IR1,Inside,Gd,E1
50,0,IR1,Corner,TA,E1
60,[43-63],IR2,CulDSac,TA,E1
20,0,IR2,Inside,Gd,E1
20,0,IR1,Corner,Gd,E1
60,0,IR1,CulDSac,Gd,E1
60,[64-84],IR1,Inside,Gd,E1
20,0,IR1,Inside,Gd,E1
60,[64-84],IR1,Inside,Gd,E1
20,0,IR1,CulDSac,Gd,E1
60,[106-126],Reg,Inside,Gd,E1
20,[64-84],Reg,Inside,Ex,E1
20,[64-84],Reg,Inside,Gd,E1
60,0,IR1,CulDSac,Gd,E1
20,[64-84],IR1,Inside,Gd,E1
60,[85-105],Reg,Corner,Gd,E1
60,0,Reg,Inside,Gd,E1
60,[64-84],Reg,Inside,Gd,E1
20,[64-84],IR1,Inside,Gd,E1
60,[64-84],Reg,Inside,Gd,E1
20,0,IR1,Corner,TA,E1
60,0,Reg,Inside,Gd,E1
190,0,IR1,Corner,TA,E1
50,0,IR1,Corner,Gd,E1
20,[64-84],Reg,Inside,Gd,E1
60,[64-84],IR1,Inside,Gd,E1
20,[85-105],IR1,Inside,Ex,E1
120,[22-42],IR1,Inside,Gd,E2
70,0,IR1,Corner,Gd,E2
60,[64-84],IR1,Inside,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
20,[64-84],IR1,Inside,Gd,E2
20,[64-84],Reg,Inside,Gd,E2
20,[43-63],IR2,FR2,Gd,E2
20,[64-84],Reg,Inside,Gd,E2
60,[106-126],Reg,Inside,Gd,E2
70,[43-63],Reg,Inside,Gd,E2
120,0,Reg,Inside,Gd,E2
60,0,IR1,Inside,Gd,E2
20,[85-105],Reg,FR2,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
20,0,IR1,Corner,TA,E2
60,[85-105],IR1,Corner,Gd,E2
160,[43-63],IR1,Inside,Gd,E2
70,[85-105],IR1,Inside,TA,E2
70,[64-84],IR1,Inside,TA,E2
20,[85-105],IR1,Inside,Gd,E2
60,[64-84],IR1,Inside,Gd,E2
50,[43-63],IR1,CulDSac,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
80,[85-105],Reg,Corner,Gd,E2
20,[64-84],Reg,Corner,Gd,E2
20,[85-105],Reg,Corner,Ex,E2
70,0,Reg,Inside,TA,E2
20,[64-84],Reg,Inside,Gd,E2
20,[64-84],Reg,Inside,Gd,E2
20,[64-84],IR1,Corner,Gd,E2
120,[22-42],IR2,Inside,Ex,E2
20,[64-84],Reg,Inside,Gd,E2
60,[64-84],IR1,FR2,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
20,[85-105],IR1,Inside,Gd,E2
50,[85-105],IR1,Inside,Gd,E2
60,0,IR2,Corner,TA,E2
20,[64-84],Reg,Inside,Gd,E2
120,[22-42],Reg,Inside,Ex,E2
60,[85-105],Reg,Inside,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
120,[43-63],Reg,Inside,Gd,E2
60,[85-105],Reg,Corner,Gd,E2
20,[85-105],IR1,Inside,Gd,E2
60,0,Reg,Corner,Gd,E2
20,[106-126],Reg,Corner,Gd,E2
20,[106-126],Reg,Inside,Gd,E2
20,[169-189],IR3,Corner,Gd,E2
60,[85-105],Reg,Inside,Gd,E2
20,[43-63],IR1,Inside,Gd,E2
60,0,Reg,Inside,Ex,E2
60,[85-105],Reg,Inside,Gd,E2
60,[64-84],Reg,Inside,Gd,E2
60,[64-84],IR1,Inside,TA,E2
60,[64-84],Reg,Inside,Gd,E2
120,[43-63],IR1,Inside,Ex,E2
60,[64-84],IR3,Inside,Gd,E2
60,[85-105],Reg,Corner,Ex,E2
120,[22-42],IR1,CulDSac,Ex,E2
20,0,IR1,CulDSac,Gd,E2
60,0,IR1,Corner,TA,E2
60,[64-84],Reg,Corner,Gd,E2
20,[64-84],Reg,Inside,Ex,E2
80,0,IR1,CulDSac,Gd,E2
80,0,Reg,Inside,Gd,E2
60,[64-84],Reg,Inside,Ex,E2
120,0,IR1,CulDSac,Gd,E2
20,0,IR2,CulDSac,Gd,E2
60,[64-84],Reg,Inside,Ex,E2
60,[64-84],IR1,Inside,Ex,E2
50,0,IR2,CulDSac,Gd,E2
120,[22-42],IR1,Inside,Ex,E3
20,[85-105],IR1,Inside,Gd,E3
20,[106-126],IR1,Inside,Gd,E3
60,[85-105],IR1,Inside,Gd,E3
20,[85-105],IR1,Corner,Gd,E3
60,[85-105],Reg,Inside,Gd,E3
