BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,BsmtFullBath,BsmtHalfBath
TA,TA,No,BLQ,[253-504],LwQ,[253-378],0,0,0,C1
TA,TA,No,LwQ,[505-756],Unf,0,0,0,0,C1
TA,TA,No,ALQ,[253-504],Unf,0,[1-260],0,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
TA,Fa,No,Unf,0,Unf,0,[781-1040],0,0,C1
Fa,Fa,Mn,Unf,0,Unf,0,[781-1040],1,1,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
Fa,TA,No,Unf,0,Unf,0,[781-1040],0,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
Gd,TA,Mn,BLQ,[1-252],Unf,0,[521-780],0,0,C1
TA,TA,No,Unf,0,Unf,0,[261-520],0,0,C1
TA,TA,No,Rec,[505-756],Unf,0,[261-520],1,0,C1
TA,Fa,Mn,LwQ,[1-252],Rec,[379-504],0,0,1,C1
Fa,TA,Mn,BLQ,[253-504],Unf,0,[521-780],1,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,ALQ,[505-756],LwQ,[127-252],[1-260],0,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
TA,TA,No,Rec,[253-504],Unf,0,[261-520],1,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,C1
TA,TA,No,BLQ,[253-504],Unf,0,[1-260],1,0,C1
TA,Fa,No,Unf,0,Unf,0,[521-780],0,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
Fa,Fa,No,LwQ,[757-1008],Unf,0,0,0,0,C1
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C1
TA,TA,Mn,Unf,0,Unf,0,[781-1040],0,0,C1
TA,TA,No,BLQ,[505-756],Unf,0,[1-260],1,0,C1
TA,TA,No,BLQ,[253-504],Unf,0,[261-520],1,0,C1
TA,TA,No,ALQ,[253-504],Rec,[1-126],[261-520],0,0,C1
TA,TA,Mn,Rec,[1-252],Unf,0,[261-520],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,Rec,[253-504],Unf,0,[1-260],0,0,C1
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
TA,TA,No,ALQ,[253-504],Unf,0,[521-780],0,0,C2
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C2
TA,TA,Av,ALQ,[253-504],BLQ,[127-252],[261-520],1,0,C2
Fa,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C2
NA,NA,NA,NA,0,NA,0,0,0,0,C2
TA,TA,No,Rec,[505-756],Unf,0,0,0,0,C2
TA,TA,No,BLQ,[253-504],Unf,0,[521-780],1,0,C2
TA,TA,Mn,Unf,0,Unf,0,[521-780],1,0,C2
TA,TA,No,Unf,0,Unf,0,[1041-1300],0,0,C2
TA,TA,No,ALQ,[1-252],Unf,0,[521-780],0,0,C2
TA,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,C2
TA,TA,No,ALQ,[757-1008],Unf,0,0,1,0,C2
TA,TA,No,LwQ,[1-252],Unf,0,[781-1040],1,0,C2
Gd,TA,Gd,LwQ,[1-252],GLQ,[631-756],0,1,0,C2
TA,TA,No,Unf,0,Unf,0,[261-520],0,0,C2
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,TA,No,LwQ,[505-756],Unf,0,[261-520],0,0,C2
TA,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,C2
TA,TA,No,BLQ,[253-504],Unf,0,[521-780],0,0,C2
TA,TA,No,ALQ,[253-504],Unf,0,[261-520],0,0,C2
TA,TA,No,BLQ,[505-756],Unf,0,[261-520],0,0,C2
Fa,TA,No,LwQ,[505-756],Unf,0,0,0,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,C2
TA,TA,No,LwQ,[1-252],Rec,[379-504],[261-520],1,0,C2
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C2
TA,Fa,No,LwQ,[1-252],Unf,0,[521-780],0,0,C2
TA,TA,No,BLQ,[253-504],Unf,0,[261-520],0,0,C2
TA,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,C2
TA,TA,No,ALQ,[1-252],BLQ,[127-252],[261-520],0,0,C2
TA,TA,No,Unf,0,Unf,0,[1041-1300],0,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
NA,NA,NA,NA,0,NA,0,0,0,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,C2
TA,TA,No,Rec,[253-504],LwQ,[505-630],0,0,0,C2
Fa,TA,No,Unf,0,Unf,0,[521-780],0,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,Fa,No,Unf,0,Unf,0,[261-520],0,0,C2
TA,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],1,0,C2
TA,TA,No,LwQ,[253-504],BLQ,[379-504],[1-260],0,0,C2
TA,TA,No,GLQ,[757-1008],Unf,0,[1-260],1,0,C2
TA,TA,No,LwQ,[757-1008],Unf,0,[1-260],0,0,C2
TA,TA,No,BLQ,[253-504],Unf,0,[261-520],0,1,C2
Gd,TA,Av,GLQ,[757-1008],Unf,0,0,1,0,C2
TA,Fa,No,Unf,0,Unf,0,[781-1040],1,0,C2
NA,NA,NA,NA,0,NA,0,0,0,0,C2
TA,TA,No,GLQ,[1-252],Rec,[253-378],[1301-1560],0,1,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,TA,No,BLQ,[505-756],Rec,[1-126],[1-260],0,0,C2
TA,TA,No,BLQ,[505-756],Unf,0,[1-260],1,0,C2
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,C2
TA,TA,No,BLQ,[253-504],Unf,0,[261-520],1,0,C2
TA,TA,No,Rec,[757-1008],Unf,0,[261-520],1,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
TA,TA,No,ALQ,[253-504],BLQ,[127-252],[1-260],0,0,C2
TA,TA,No,ALQ,[505-756],Unf,0,[1-260],0,0,C2
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C2
Gd,TA,No,ALQ,[1261-1512],Unf,0,[1-260],1,0,C2
TA,TA,Av,BLQ,[505-756],Unf,0,[1-260],0,0,C2
TA,TA,No,BLQ,[253-504],Unf,0,[261-520],0,0,C2
TA,Fa,No,LwQ,[253-504],Unf,0,[261-520],0,0,C2
TA,TA,No,ALQ,[253-504],Unf,0,[261-520],1,0,C2
TA,TA,No,BLQ,[253-504],LwQ,[127-252],0,1,0,C2
TA,TA,Av,Rec,[757-1008],Unf,0,[1-260],0,0,C2
TA,TA,Av,ALQ,[757-1008],Unf,0,[1-260],1,0,C2
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,C2
Gd,TA,No,Rec,[505-756],Unf,0,[261-520],0,0,C2
Fa,Fa,No,Unf,0,Unf,0,[521-780],0,0,C2
Gd,TA,No,ALQ,[253-504],Unf,0,[261-520],0,0,C2
TA,TA,No,Unf,0,Unf,0,[1561-1820],0,0,C3
TA,TA,No,BLQ,[1-252],Rec,[757-882],[1-260],1,0,C3
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C3
TA,TA,No,ALQ,[1-252],Unf,0,[521-780],0,0,C3
TA,TA,Av,ALQ,[505-756],Unf,0,[1-260],0,0,C3
TA,TA,No,Rec,[1261-1512],Unf,0,[261-520],1,0,C3
TA,TA,Av,ALQ,[505-756],Unf,0,[261-520],1,0,C3
TA,TA,No,GLQ,[505-756],Unf,0,[261-520],0,0,C3
TA,TA,No,BLQ,[505-756],Unf,0,[1-260],1,0,C3
TA,TA,No,ALQ,[253-504],Unf,0,[261-520],1,0,C3
NA,NA,NA,NA,0,NA,0,0,0,0,C3
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],0,0,C3
TA,TA,No,ALQ,[253-504],Unf,0,[781-1040],1,0,C3
TA,TA,No,Unf,0,Unf,0,[1041-1300],0,0,C3
TA,TA,No,BLQ,[757-1008],Unf,0,[1-260],1,0,C3
TA,TA,No,BLQ,[253-504],GLQ,[1-126],[261-520],1,0,C3
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C3
TA,TA,No,ALQ,[505-756],Rec,[127-252],[1-260],0,0,C3
TA,TA,No,ALQ,[253-504],Rec,[127-252],[1-260],1,0,C3
TA,TA,No,Rec,[505-756],Unf,0,[1-260],0,0,C3
Gd,Gd,Gd,GLQ,[757-1008],Unf,0,0,0,2,C3
Gd,TA,No,ALQ,[253-504],Unf,0,[521-780],0,0,C3
Gd,TA,No,ALQ,[1-252],Unf,0,[781-1040],0,0,C3
Fa,Fa,Mn,Unf,0,Unf,0,[521-780],0,0,C3
Gd,TA,No,Unf,0,Unf,0,[781-1040],1,0,C3
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C3
TA,TA,No,Rec,[253-504],LwQ,[253-378],[261-520],1,0,C3
TA,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,C3
TA,TA,No,Rec,[757-1008],Unf,0,[1-260],1,0,C3
Gd,TA,Gd,ALQ,[505-756],Unf,0,[261-520],0,0,C3
TA,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,C3
TA,TA,No,ALQ,[505-756],Unf,0,[261-520],1,0,C3
TA,TA,Av,ALQ,[757-1008],Unf,0,[1-260],1,0,C3
TA,TA,No,ALQ,[757-1008],Unf,0,[1-260],1,0,C3
TA,TA,Gd,LwQ,[1-252],Rec,[505-630],0,1,0,C3
TA,TA,No,Rec,[757-1008],Unf,0,[1-260],1,0,C3
Gd,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,C3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,C3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,C3
TA,TA,Av,BLQ,[253-504],Rec,[253-378],[261-520],0,1,C3
TA,TA,No,ALQ,[253-504],Unf,0,[261-520],0,0,C3
TA,Gd,Mn,Rec,[1-252],ALQ,[505-630],0,1,0,C3
TA,TA,Av,Unf,0,Unf,0,[781-1040],0,0,C3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,C3
TA,Gd,No,ALQ,[253-504],Unf,0,[261-520],0,1,C3
TA,TA,No,BLQ,[505-756],Unf,0,[261-520],1,0,C3
TA,TA,No,Unf,0,Unf,0,[1041-1300],0,0,C3
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],1,0,C3
TA,TA,Mn,BLQ,[757-1008],Unf,0,[1-260],1,0,C3
TA,TA,No,ALQ,[505-756],Unf,0,[261-520],1,0,C3
Gd,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,C3
Fa,Fa,No,Unf,0,Unf,0,[261-520],0,0,C3
TA,TA,Gd,ALQ,[505-756],Unf,0,[261-520],1,0,C3
TA,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,C3
TA,TA,No,BLQ,[1009-1260],Unf,0,0,1,0,C3
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C3
TA,TA,Av,ALQ,[253-504],Unf,0,[261-520],0,0,C3
TA,TA,No,BLQ,[253-504],Rec,[127-252],[1-260],1,0,C3
Gd,TA,Av,GLQ,[505-756],LwQ,[127-252],0,1,0,C3
TA,TA,No,ALQ,[757-1008],Unf,0,[1-260],1,0,C3
TA,TA,No,LwQ,[253-504],Unf,0,[521-780],0,0,C3
TA,Fa,Mn,Rec,[1009-1260],Unf,0,[1-260],0,1,C3
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],0,1,C3
Gd,TA,No,ALQ,[757-1008],Unf,0,[261-520],1,0,C3
TA,TA,No,ALQ,[253-504],Unf,0,[521-780],0,0,C3
TA,TA,Mn,BLQ,[1-252],Rec,[379-504],[1-260],0,1,C3
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C3
TA,TA,No,BLQ,[505-756],Unf,0,[261-520],0,0,C3
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C3
TA,TA,No,BLQ,[253-504],Unf,0,[261-520],0,0,C3
TA,TA,No,ALQ,[1009-1260],Unf,0,[1-260],0,0,C3
TA,TA,No,BLQ,[505-756],Unf,0,[261-520],1,0,C3
TA,TA,Av,ALQ,[253-504],Rec,[379-504],[1-260],0,0,C3
Gd,TA,Gd,GLQ,[757-1008],Unf,0,0,1,0,M1
TA,TA,No,BLQ,[505-756],Unf,0,[261-520],0,0,M1
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M1
TA,TA,No,ALQ,[505-756],Unf,0,[1-260],1,0,M1
TA,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,M1
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],1,0,M1
TA,TA,No,Unf,0,Unf,0,[1561-1820],0,0,M1
TA,TA,Av,ALQ,[505-756],Unf,0,[1-260],1,0,M1
TA,TA,No,BLQ,[253-504],Unf,0,[521-780],0,0,M1
TA,TA,Gd,GLQ,[757-1008],Unf,0,[1-260],1,0,M1
Gd,TA,Av,BLQ,[757-1008],Rec,[127-252],[1-260],1,0,M1
Fa,TA,No,Unf,0,Unf,0,[521-780],0,0,M1
TA,TA,Mn,Unf,0,Unf,0,[781-1040],0,0,M1
TA,Fa,No,LwQ,[505-756],Unf,0,[1301-1560],0,0,M1
TA,TA,No,Rec,[1-252],BLQ,[253-378],[521-780],1,0,M1
Gd,TA,Mn,Unf,0,Unf,0,[521-780],0,0,M1
TA,TA,No,Rec,[757-1008],Unf,0,[1-260],1,0,M1
Gd,TA,No,LwQ,[505-756],Unf,0,[521-780],1,0,M1
Fa,TA,No,LwQ,[505-756],Unf,0,0,1,0,M1
TA,TA,No,Rec,[505-756],Unf,0,[261-520],1,0,M1
TA,TA,Mn,ALQ,[757-1008],Unf,0,[1-260],1,0,M1
TA,TA,Av,Unf,0,Unf,0,[781-1040],0,0,M1
TA,TA,No,BLQ,[253-504],LwQ,[379-504],[1-260],0,1,M1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,M1
NA,NA,NA,NA,0,NA,0,0,0,0,M1
TA,TA,No,Rec,[505-756],Unf,0,[521-780],1,0,M1
TA,Gd,No,ALQ,[1-252],Unf,0,[521-780],1,0,M1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,M1
TA,TA,No,Unf,0,Unf,0,[1301-1560],0,0,M1
TA,TA,No,ALQ,[505-756],GLQ,[1-126],[261-520],1,0,M1
Gd,TA,No,Unf,0,Unf,0,[261-520],0,0,M1
TA,TA,Gd,ALQ,[505-756],Unf,0,[1-260],1,0,M1
TA,TA,No,Rec,[253-504],BLQ,[1-126],[261-520],1,0,M1
TA,TA,No,BLQ,[1-252],Unf,0,[521-780],0,0,M1
TA,TA,No,BLQ,[505-756],Unf,0,[261-520],1,0,M1
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,M1
TA,TA,No,ALQ,[253-504],Rec,[253-378],[261-520],1,0,M1
TA,TA,No,LwQ,[1-252],Unf,0,[521-780],0,0,M1
TA,TA,No,Rec,[757-1008],Unf,0,[1-260],1,0,M1
TA,TA,No,Unf,0,Unf,0,[1561-1820],0,0,M1
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,M1
TA,TA,No,BLQ,[757-1008],Unf,0,[261-520],1,0,M1
TA,TA,Mn,GLQ,[757-1008],Unf,0,[1-260],1,1,M1
TA,TA,No,Rec,[757-1008],Unf,0,[1-260],1,0,M1
TA,TA,Mn,GLQ,[1-252],Rec,[1009-1134],0,1,0,M1
TA,TA,Av,GLQ,[757-1008],Unf,0,[1-260],1,0,M1
TA,TA,No,LwQ,[1-252],Unf,0,[1301-1560],0,0,M1
NA,NA,NA,NA,0,NA,0,0,0,0,M1
Gd,TA,No,GLQ,[505-756],Unf,0,[1-260],1,0,M1
Gd,TA,No,BLQ,[505-756],BLQ,[1-126],[261-520],0,0,M1
TA,TA,Av,ALQ,[505-756],BLQ,[253-378],[1-260],1,0,M1
TA,TA,No,ALQ,[505-756],Unf,0,[1-260],0,1,M1
TA,TA,No,ALQ,[505-756],Rec,[1-126],[521-780],1,0,M1
Gd,Gd,Av,ALQ,[1-252],Unf,0,[1041-1300],0,0,M1
Gd,TA,No,LwQ,[757-1008],Unf,0,0,0,0,M1
TA,TA,No,ALQ,[505-756],Unf,0,[1-260],1,0,M1
TA,TA,No,GLQ,[1009-1260],Unf,0,0,2,0,M1
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,M1
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,M1
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],1,0,M1
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M1
Gd,TA,Gd,GLQ,[505-756],Unf,0,[1-260],1,0,M1
TA,TA,Av,Rec,[253-504],Unf,0,[781-1040],0,0,M1
TA,TA,No,ALQ,[253-504],BLQ,[253-378],[261-520],1,0,M1
TA,TA,No,Rec,[757-1008],Unf,0,[261-520],1,0,M1
TA,TA,No,LwQ,[505-756],Unf,0,[1041-1300],0,0,M1
TA,Gd,Av,GLQ,[505-756],Unf,0,0,1,1,M1
TA,TA,Av,GLQ,[505-756],Unf,0,[1-260],0,1,M1
Gd,TA,Gd,GLQ,[505-756],Unf,0,0,1,0,M1
TA,TA,No,ALQ,[1009-1260],Unf,0,[1-260],2,0,M1
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M1
TA,TA,Mn,GLQ,[505-756],Unf,0,[1-260],1,0,M1
Gd,TA,No,ALQ,[253-504],Unf,0,[521-780],0,0,M1
Gd,Gd,Gd,GLQ,[505-756],LwQ,[379-504],0,1,0,M2
TA,TA,No,GLQ,[1-252],ALQ,[505-630],[1-260],1,0,M2
TA,TA,No,BLQ,[757-1008],LwQ,[253-378],[1-260],1,0,M2
TA,TA,No,Unf,0,Unf,0,[1041-1300],1,0,M2
TA,Gd,No,BLQ,[505-756],Unf,0,[261-520],1,0,M2
Gd,TA,Av,GLQ,[253-504],Unf,0,[521-780],0,0,M2
Gd,TA,Av,ALQ,[505-756],Unf,0,[261-520],0,1,M2
TA,TA,Av,ALQ,[757-1008],Unf,0,[1-260],1,0,M2
TA,TA,No,Rec,[505-756],Unf,0,[261-520],0,0,M2
TA,TA,No,BLQ,[757-1008],Unf,0,[1-260],1,0,M2
Gd,TA,No,GLQ,[1-252],Unf,0,[261-520],0,0,M2
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],1,0,M2
TA,TA,No,Unf,0,Unf,0,[1041-1300],0,0,M2
TA,TA,No,ALQ,[1-252],Unf,0,[261-520],0,0,M2
TA,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,M2
TA,TA,No,ALQ,[757-1008],Unf,0,0,1,0,M2
TA,TA,No,BLQ,[1-252],Unf,0,[1041-1300],0,0,M2
TA,TA,No,Rec,[505-756],BLQ,[1-126],[261-520],0,1,M2
Gd,TA,Mn,LwQ,[505-756],Rec,[127-252],[261-520],0,0,M2
TA,TA,No,Rec,[253-504],Unf,0,[521-780],1,0,M2
TA,TA,Gd,Rec,[757-1008],LwQ,[379-504],[261-520],0,0,M2
Gd,TA,No,LwQ,[1-252],GLQ,[505-630],[1-260],1,0,M2
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M2
Gd,TA,No,ALQ,[505-756],LwQ,[379-504],[1-260],1,0,M2
Gd,TA,No,ALQ,[757-1008],Unf,0,[1-260],1,0,M2
TA,TA,Mn,BLQ,[253-504],Unf,0,[261-520],0,0,M2
TA,TA,Mn,LwQ,[253-504],Unf,0,[521-780],0,0,M2
TA,TA,No,Rec,[253-504],BLQ,[253-378],0,0,0,M2
Gd,TA,No,GLQ,[253-504],Unf,0,[521-780],0,0,M2
TA,TA,Av,BLQ,[505-756],LwQ,[127-252],[261-520],1,0,M2
TA,TA,Mn,BLQ,[757-1008],Unf,0,[1-260],1,0,M2
Ex,Gd,No,GLQ,[1009-1260],Unf,0,[1-260],1,0,M2
Gd,TA,No,GLQ,[253-504],Unf,0,[781-1040],0,0,M2
TA,TA,Mn,Unf,0,Unf,0,[781-1040],0,0,M2
Gd,TA,No,GLQ,[505-756],Unf,0,[1-260],1,0,M2
TA,TA,No,LwQ,[253-504],Rec,[883-1008],0,1,0,M2
TA,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,M2
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,M2
TA,Fa,No,Rec,[505-756],Unf,0,[521-780],0,0,M2
Gd,Gd,No,ALQ,[253-504],BLQ,[127-252],0,1,0,M2
TA,TA,No,BLQ,[253-504],LwQ,[505-630],[261-520],0,0,M2
TA,TA,Av,GLQ,[253-504],Unf,0,[261-520],1,0,M2
Gd,TA,No,ALQ,[505-756],Unf,0,[1-260],1,0,M2
Gd,TA,No,ALQ,[505-756],Unf,0,[261-520],0,1,M2
Gd,TA,Av,GLQ,[757-1008],Unf,0,[1-260],1,0,M2
TA,TA,No,ALQ,[1-252],Rec,[631-756],[521-780],1,0,M2
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M2
TA,TA,No,BLQ,[505-756],Unf,0,[261-520],1,0,M2
TA,TA,Mn,BLQ,[757-1008],Unf,0,[261-520],1,0,M2
TA,TA,No,BLQ,[1261-1512],Unf,0,[1-260],1,0,M2
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,M2
TA,TA,No,Rec,[505-756],Unf,0,[781-1040],0,0,M2
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,M2
TA,TA,No,ALQ,[253-504],Unf,0,[261-520],0,0,M2
TA,TA,Mn,Rec,[253-504],Unf,0,[1-260],0,0,M2
TA,TA,No,Rec,[505-756],Unf,0,[261-520],0,0,M2
Gd,TA,No,BLQ,[505-756],Unf,0,[781-1040],1,0,M2
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,M2
TA,TA,No,BLQ,[505-756],Unf,0,[1-260],0,0,M2
TA,TA,Mn,ALQ,[505-756],Unf,0,0,0,1,M2
Gd,TA,Av,Unf,0,Unf,0,[1041-1300],0,0,M2
Gd,TA,Mn,ALQ,[505-756],Unf,0,[261-520],1,0,M2
TA,Fa,No,Rec,[253-504],Unf,0,[261-520],1,0,M2
TA,TA,Av,BLQ,[253-504],Rec,[253-378],[1-260],1,0,M2
TA,TA,No,ALQ,[757-1008],Unf,0,[1-260],1,0,M2
TA,TA,No,Rec,[1-252],Unf,0,[521-780],0,0,M2
TA,TA,Av,Unf,0,Unf,0,[1041-1300],1,0,M2
TA,TA,No,ALQ,[1-252],Rec,[253-378],[521-780],1,0,M2
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M2
Ex,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,M2
TA,Gd,No,BLQ,[505-756],Unf,0,[1-260],0,1,M2
Gd,TA,No,BLQ,[505-756],Unf,0,[521-780],0,0,M2
Gd,TA,Mn,Rec,[253-504],Unf,0,[261-520],0,0,M2
TA,TA,No,ALQ,[505-756],Unf,0,[521-780],1,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Ex,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,Av,GLQ,[1-252],Unf,0,[1041-1300],0,0,M3
Gd,TA,Gd,GLQ,[253-504],Unf,0,[521-780],0,1,M3
Gd,TA,No,ALQ,[757-1008],Unf,0,[261-520],1,0,M3
Gd,TA,Mn,BLQ,[1009-1260],Unf,0,[261-520],1,0,M3
Gd,TA,No,GLQ,[505-756],Unf,0,[1-260],1,0,M3
TA,Fa,No,Unf,0,Unf,0,[521-780],0,0,M3
Ex,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,M3
Gd,TA,Av,GLQ,[1009-1260],Unf,0,0,1,0,M3
Gd,TA,No,ALQ,[505-756],Unf,0,[1-260],0,0,M3
TA,TA,No,Rec,[505-756],Unf,0,[261-520],0,0,M3
Gd,TA,Av,GLQ,[1-252],Unf,0,[1041-1300],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[261-520],0,0,M3
TA,TA,Gd,GLQ,[505-756],LwQ,[1-126],0,1,0,M3
Gd,TA,No,ALQ,[505-756],Unf,0,[521-780],0,1,M3
TA,TA,Av,BLQ,[1009-1260],Unf,0,[1-260],1,0,M3
