Neighborhood,OverallCond,MasVnrType,MasVnrArea,HeatingQC
NAmes,5,None,0,TA,C3
OldTown,5,BrkFace,[309-462],Gd,C3
NAmes,7,None,0,Ex,C3
CollgCr,7,None,0,Ex,C3
Sawyer,5,BrkFace,[309-462],TA,C3
Edwards,6,BrkFace,[155-308],Ex,C3
Sawyer,6,BrkFace,[1-154],TA,C3
IDOTRR,8,None,0,Gd,C3
Edwards,6,None,0,Fa,C3
Mitchel,5,None,0,TA,C3
CollgCr,5,None,0,Gd,C3
OldTown,8,None,0,Ex,C3
NAmes,5,BrkCmn,[1-154],Gd,C3
Sawyer,7,None,0,Ex,C3
BrkSide,5,None,0,TA,C3
IDOTRR,7,None,0,TA,C3
MeadowV,6,None,0,Ex,C3
Edwards,7,None,0,Gd,C3
NAmes,6,None,0,Ex,C3
Edwards,5,BrkFace,[155-308],TA,C3
NPkVill,5,None,0,TA,C3
NPkVill,5,None,0,TA,C3
BrkSide,8,None,0,Ex,C3
SWISU,4,None,0,TA,C3
OldTown,6,None,0,Ex,C3
NAmes,5,Stone,[1-154],TA,C3
OldTown,6,None,0,TA,C3
Sawyer,5,BrkFace,[1-154],TA,C3
CollgCr,6,None,0,TA,C3
NAmes,6,None,0,Gd,C3
NAmes,5,None,0,Fa,C3
BrkSide,5,BrkFace,[155-308],TA,C3
Sawyer,5,None,0,TA,C3
Sawyer,5,None,0,Gd,C3
Sawyer,5,None,0,Ex,C3
OldTown,5,None,0,Fa,C3
Edwards,5,Stone,[1-154],Ex,C3
Edwards,5,Stone,[1-154],Ex,C3
ClearCr,4,BrkFace,[1-154],Ex,C3
Sawyer,7,BrkFace,[1-154],Ex,C3
BrkSide,7,None,0,Ex,C3
SWISU,6,None,0,TA,C3
Edwards,5,Stone,[1-154],Ex,C3
BrkSide,6,None,0,Ex,C3
Sawyer,6,None,0,Ex,C3
OldTown,5,BrkFace,[309-462],Ex,C3
CollgCr,5,BrkFace,[155-308],Ex,C3
Sawyer,4,None,0,Ex,C3
NAmes,6,None,0,Ex,C3
NAmes,7,None,0,TA,C3
OldTown,7,None,0,Ex,C3
Mitchel,5,None,0,Gd,C3
Sawyer,6,None,0,TA,C3
NAmes,5,None,0,TA,C3
BrkSide,6,None,0,Ex,C3
CollgCr,5,None,0,Gd,C3
NAmes,7,None,0,TA,C3
NAmes,5,BrkFace,[155-308],Ex,C3
Sawyer,5,None,0,Fa,C3
NAmes,5,None,0,TA,C3
OldTown,6,None,0,Ex,C3
CollgCr,8,None,0,Gd,C3
MeadowV,5,None,0,TA,C3
Mitchel,5,None,0,TA,C3
NAmes,7,None,0,TA,C3
OldTown,8,None,0,Gd,C3
Sawyer,6,BrkFace,[1-154],TA,C3
IDOTRR,7,None,0,Ex,C3
Sawyer,7,None,0,TA,C3
Edwards,6,None,0,Ex,C3
NAmes,5,BrkFace,[1-154],TA,C3
NAmes,5,None,0,Gd,C3
NAmes,5,None,0,TA,M1
NAmes,7,BrkFace,[1-154],Gd,M1
NAmes,5,None,0,TA,M1
CollgCr,8,BrkFace,[1-154],Ex,M1
SWISU,5,None,0,Fa,M1
CollgCr,5,BrkFace,[155-308],Ex,M1
NWAmes,6,BrkFace,[155-308],Fa,M1
Sawyer,6,None,0,TA,M1
SWISU,6,None,0,Ex,M1
NAmes,7,BrkFace,[155-308],Ex,M1
Edwards,5,None,0,TA,M1
Crawfor,5,None,0,Ex,M1
BrkSide,8,None,0,Ex,M1
NAmes,3,BrkFace,[1-154],TA,M1
NAmes,4,None,0,Gd,M1
Crawfor,5,None,0,Gd,M1
NAmes,6,None,0,Fa,M1
NAmes,5,BrkFace,[1-154],Gd,M1
OldTown,6,None,0,TA,M1
Sawyer,6,None,0,TA,M1
NAmes,7,None,0,TA,M1
Mitchel,5,None,0,TA,M1
NAmes,7,None,0,TA,M1
SWISU,7,None,0,TA,M1
Edwards,5,None,0,Ex,M1
NAmes,6,BrkFace,[1-154],Gd,M1
Crawfor,5,None,0,Gd,M1
OldTown,6,None,0,Gd,M1
NAmes,5,None,0,Ex,M1
Edwards,7,None,0,Ex,M1
OldTown,9,None,0,Gd,M1
NAmes,5,BrkFace,[1-154],TA,M1
NAmes,7,None,0,TA,M1
NAmes,8,None,0,Ex,M1
NAmes,6,None,0,TA,M1
BrkSide,5,None,0,Gd,M1
NAmes,5,None,0,TA,M1
Gilbert,5,None,0,Ex,M1
NAmes,5,None,0,TA,M1
NAmes,4,None,0,Ex,M1
BrkSide,6,None,0,TA,M1
NAmes,6,None,0,Ex,M1
Sawyer,8,None,0,Gd,M1
NAmes,5,BrkFace,[155-308],Fa,M1
NAmes,6,None,0,Gd,M1
Mitchel,6,None,0,TA,M1
NAmes,5,BrkFace,[1-154],TA,M1
SawyerW,5,None,0,TA,M1
Mitchel,5,None,0,Ex,M1
SawyerW,5,None,0,TA,M1
NAmes,6,BrkFace,[1-154],TA,M1
OldTown,9,None,0,Ex,M1
NWAmes,5,BrkFace,[309-462],TA,M1
CollgCr,7,None,0,TA,M1
NPkVill,6,None,0,TA,M1
Sawyer,6,None,0,TA,M1
OldTown,5,None,0,Gd,M1
CollgCr,6,None,0,Ex,M1
OldTown,6,None,0,Ex,M1
CollgCr,5,BrkFace,[155-308],Ex,M1
Somerst,5,None,0,Ex,M1
CollgCr,5,BrkFace,[155-308],Ex,M1
Edwards,6,Stone,[1-154],Ex,M1
NAmes,7,BrkFace,[1-154],Gd,M1
NAmes,6,None,0,TA,M1
NAmes,5,BrkFace,[1-154],Ex,M1
Sawyer,9,None,0,Ex,M1
NAmes,8,BrkFace,[1-154],Ex,M1
Edwards,5,BrkFace,[1-154],Gd,M1
Edwards,7,None,0,Gd,M1
Somerst,5,None,0,Ex,M1
NAmes,8,BrkFace,[155-308],Gd,M1
NPkVill,5,None,0,Fa,M1
CollgCr,6,None,0,TA,M2
OldTown,7,None,0,Ex,M2
Edwards,6,None,0,Gd,M2
NAmes,6,BrkFace,[155-308],TA,M2
Edwards,7,BrkFace,[155-308],TA,M2
CollgCr,5,None,0,Ex,M2
NWAmes,6,BrkFace,[155-308],TA,M2
Sawyer,7,None,0,TA,M2
Sawyer,5,BrkFace,[1-154],Gd,M2
NAmes,6,BrkFace,[1-154],TA,M2
Somerst,5,None,0,Ex,M2
CollgCr,5,BrkFace,[155-308],Ex,M2
Sawyer,6,None,0,Gd,M2
Sawyer,7,BrkFace,[155-308],TA,M2
OldTown,7,None,0,TA,M2
CollgCr,7,None,0,TA,M2
Edwards,4,BrkFace,[1-154],TA,M2
NAmes,7,BrkFace,[1-154],TA,M2
CollgCr,7,None,0,TA,M2
NAmes,6,None,0,Gd,M2
Mitchel,5,None,0,TA,M2
Blueste,6,None,0,TA,M2
Somerst,5,None,0,Ex,M2
NAmes,8,None,0,Gd,M2
MeadowV,4,None,0,Gd,M2
NAmes,8,None,0,TA,M2
OldTown,7,None,0,Gd,M2
NWAmes,5,BrkFace,[155-308],Ex,M2
SawyerW,5,None,0,TA,M2
NAmes,6,BrkFace,[155-308],Ex,M2
NAmes,7,None,0,TA,M2
Mitchel,5,BrkFace,[309-462],Ex,M2
SawyerW,5,None,0,Ex,M2
OldTown,8,None,0,Gd,M2
NridgHt,5,Stone,[1-154],Ex,M2
NAmes,7,None,0,Ex,M2
NAmes,5,BrkFace,[309-462],TA,M2
Crawfor,6,None,0,Ex,M2
NAmes,7,BrkFace,[155-308],TA,M2
SWISU,9,None,0,Ex,M2
NAmes,6,None,0,TA,M2
ClearCr,7,BrkFace,[1-154],Gd,M2
Somerst,5,None,0,Ex,M2
CollgCr,5,None,0,Ex,M2
Mitchel,6,None,0,Ex,M2
NAmes,3,None,0,Gd,M2
Gilbert,5,None,0,Ex,M2
NAmes,5,BrkFace,[155-308],TA,M2
Crawfor,5,BrkFace,[1-154],TA,M2
NAmes,5,BrkFace,[1-154],Ex,M2
OldTown,8,None,0,Gd,M2
NAmes,6,BrkFace,[155-308],Gd,M2
NWAmes,6,BrkFace,[309-462],TA,M2
Sawyer,7,Stone,[1-154],TA,M2
Sawyer,5,BrkCmn,[309-462],TA,M2
NAmes,7,None,0,TA,M2
NAmes,5,BrkFace,[155-308],Gd,M2
OldTown,8,None,0,Ex,M2
Edwards,6,BrkFace,[1-154],TA,M2
NAmes,6,None,0,Ex,M2
Blmngtn,5,BrkFace,[1-154],Ex,M2
Mitchel,7,None,0,Ex,M2
Crawfor,7,None,0,Ex,M2
Timber,5,None,0,TA,M2
Mitchel,5,None,0,Fa,M2
OldTown,9,None,0,Ex,M2
ClearCr,5,None,0,Ex,M2
NAmes,7,None,0,Ex,M2
Gilbert,5,None,0,Ex,M2
Mitchel,5,BrkFace,[309-462],Ex,M2
NWAmes,6,None,0,TA,M2
Veenker,6,None,0,TA,M2
OldTown,7,None,0,Fa,M2
NAmes,6,None,0,Ex,M3
CollgCr,5,None,0,Ex,M3
Mitchel,5,BrkFace,[1-154],Ex,M3
Somerst,5,None,0,Ex,M3
CollgCr,5,None,0,Ex,M3
NAmes,5,BrkFace,[155-308],Gd,M3
Veenker,6,None,0,TA,M3
Sawyer,5,None,0,TA,M3
Somerst,5,None,0,Ex,M3
Crawfor,7,None,0,TA,M3
Mitchel,5,BrkFace,[309-462],Ex,M3
Mitchel,6,BrkFace,[1-154],Ex,M3
Gilbert,5,BrkFace,[1-154],Gd,M3
NAmes,4,None,0,Fa,M3
Blmngtn,5,BrkFace,[1-154],Ex,M3
BrkSide,8,None,0,TA,M3
Timber,5,None,0,Gd,M3
NAmes,6,BrkFace,[309-462],TA,M3
NWAmes,5,BrkFace,[309-462],TA,M3
Mitchel,4,Stone,[1-154],Ex,M3
NAmes,5,BrkFace,[155-308],TA,M3
Gilbert,5,None,0,Gd,M3
NAmes,5,BrkFace,[155-308],TA,M3
Mitchel,5,BrkFace,[309-462],TA,M3
Gilbert,5,None,0,Ex,M3
Gilbert,5,None,0,Ex,M3
Sawyer,4,None,0,TA,M3
StoneBr,5,None,0,Ex,M3
NWAmes,6,BrkFace,[1-154],TA,M3
SawyerW,6,BrkFace,[1-154],TA,M3
Mitchel,6,None,0,TA,M3
Mitchel,6,None,0,TA,M3
Mitchel,4,BrkFace,[155-308],Ex,M3
Somerst,5,BrkFace,[309-462],Ex,M3
Sawyer,5,None,0,Ex,M3
Somerst,5,BrkFace,[771-924],Gd,M3
Sawyer,5,BrkFace,[1-154],Gd,M3
Gilbert,5,None,0,Gd,M3
Mitchel,5,None,0,Ex,M3
SawyerW,5,None,0,Ex,M3
NWAmes,8,BrkFace,[155-308],Gd,M3
Gilbert,5,None,0,Ex,M3
Somerst,5,Stone,[1-154],Ex,M3
CollgCr,5,None,0,Ex,M3
Gilbert,5,None,0,Ex,M3
Gilbert,5,None,0,Ex,M3
Somerst,5,BrkFace,[309-462],Ex,M3
NAmes,9,BrkFace,[155-308],TA,M3
Crawfor,7,None,0,Ex,M3
NAmes,7,BrkFace,[155-308],TA,M3
Timber,5,None,0,TA,M3
Timber,5,BrkFace,[155-308],Ex,M3
Sawyer,6,None,0,Ex,M3
NWAmes,6,None,0,TA,M3
Gilbert,5,None,0,Ex,M3
NridgHt,5,Stone,[1-154],Ex,M3
Timber,6,BrkFace,[1-154],Gd,M3
Gilbert,5,BrkFace,[1-154],Gd,M3
Edwards,5,None,0,Ex,M3
CollgCr,5,None,0,Gd,M3
Somerst,5,BrkFace,[309-462],Ex,M3
Somerst,5,BrkFace,[155-308],Ex,M3
Gilbert,5,None,0,Ex,M3
Gilbert,5,None,0,Gd,M3
Gilbert,7,None,0,Gd,M3
CollgCr,5,None,0,Ex,M3
NWAmes,7,BrkFace,[1-154],Ex,M3
Blmngtn,5,BrkFace,[1-154],Ex,M3
Gilbert,5,BrkFace,[1-154],Ex,M3
Edwards,5,None,0,TA,M3
SawyerW,5,BrkFace,[1-154],Ex,M3
SawyerW,5,None,0,Gd,M3
SawyerW,5,BrkFace,[1-154],Gd,M3
Somerst,5,BrkFace,[309-462],Gd,M4
SWISU,8,None,0,Ex,M4
Gilbert,5,None,0,Ex,M4
NWAmes,6,None,0,TA,M4
NAmes,8,None,0,Gd,M4
NAmes,5,BrkFace,[155-308],TA,M4
ClearCr,5,None,0,Ex,M4
Sawyer,6,None,0,Gd,M4
Gilbert,5,None,0,Ex,M4
NWAmes,5,BrkFace,[155-308],TA,M4
Timber,5,BrkFace,[1-154],TA,M4
NAmes,5,BrkFace,[155-308],Gd,M4
BrkSide,6,None,0,Ex,M4
NAmes,7,BrkFace,[1-154],TA,M4
NWAmes,5,None,0,TA,M4
Gilbert,5,None,0,Ex,M4
Gilbert,5,None,0,Ex,M4
Veenker,8,None,0,Ex,M4
NAmes,6,BrkFace,[1-154],Ex,M4
Somerst,5,NA,0,Ex,M4
NWAmes,7,BrkFace,[309-462],Ex,M4
Gilbert,5,None,0,Ex,M4
Gilbert,5,None,0,Ex,M4
BrkSide,6,None,0,Ex,M4
Gilbert,5,None,0,Ex,M4
Edwards,5,Stone,[617-770],Ex,M4
Gilbert,5,BrkFace,[1-154],Gd,M4
ClearCr,5,None,0,TA,M4
CollgCr,5,None,0,Ex,M4
NWAmes,6,BrkFace,[155-308],TA,M4
CollgCr,5,BrkFace,[1-154],Ex,M4
NWAmes,7,None,0,Gd,M4
Timber,4,BrkFace,[155-308],Gd,M4
SawyerW,5,BrkFace,[1-154],Ex,M4
CollgCr,5,None,0,Ex,M4
NWAmes,5,BrkFace,[155-308],TA,M4
Gilbert,5,None,0,Gd,M4
Gilbert,5,None,0,Gd,M4
Gilbert,5,None,0,Ex,M4
Crawfor,7,None,0,Fa,M4
CollgCr,5,None,0,Ex,M4
SawyerW,5,None,0,Ex,M4
Crawfor,8,None,0,Gd,M4
NWAmes,6,BrkFace,[463-616],Ex,M4
ClearCr,5,None,0,Gd,M4
NAmes,6,None,0,Ex,M4
CollgCr,5,None,0,Ex,M4
CollgCr,5,BrkFace,[155-308],Ex,M4
ClearCr,5,BrkCmn,[617-770],Fa,M4
CollgCr,5,BrkFace,[1-154],Ex,M4
CollgCr,5,None,0,Ex,M4
Blmngtn,5,BrkFace,[1-154],Ex,M4
Crawfor,7,None,0,Fa,M4
ClearCr,5,BrkFace,[155-308],Ex,M4
Blmngtn,5,BrkFace,[1-154],Ex,M4
Blmngtn,5,BrkFace,[1-154],Ex,M4
CollgCr,5,BrkFace,[1-154],Ex,M4
SawyerW,5,None,0,Ex,M4
Gilbert,5,None,0,Ex,M4
NAmes,6,BrkFace,[463-616],TA,M4
CollgCr,5,None,0,Ex,M4
CollgCr,5,None,0,Ex,M4
Veenker,7,None,0,Ex,M4
CollgCr,5,Stone,[1-154],Ex,M4
Gilbert,5,None,0,Ex,M4
NridgHt,5,Stone,[155-308],Ex,M4
CollgCr,5,None,0,Ex,M4
CollgCr,5,BrkFace,[1-154],Ex,M4
CollgCr,5,None,0,Ex,M4
NWAmes,5,BrkFace,[1-154],TA,M4
Somerst,5,None,0,Ex,M4
NWAmes,7,BrkFace,[1-154],Ex,M4
Edwards,5,BrkFace,[463-616],Ex,M4
Somerst,5,NA,0,Ex,E1
Gilbert,5,None,0,Ex,E1
CollgCr,5,BrkFace,[1-154],Ex,E1
CollgCr,5,None,0,Ex,E1
CollgCr,5,BrkFace,[1-154],Ex,E1
ClearCr,6,None,0,TA,E1
Crawfor,3,NA,0,TA,E1
SawyerW,5,BrkFace,[1-154],Ex,E1
NridgHt,5,Stone,[155-308],Ex,E1
NWAmes,7,None,0,Ex,E1
CollgCr,5,BrkFace,[155-308],Ex,E1
CollgCr,5,BrkFace,[1-154],Ex,E1
Timber,5,BrkFace,[1-154],Ex,E1
CollgCr,5,None,0,Ex,E1
NWAmes,7,BrkFace,[1-154],Gd,E1
SawyerW,5,None,0,Ex,E1
CollgCr,5,Stone,[1-154],Ex,E1
NAmes,5,None,0,TA,E1
NridgHt,5,Stone,[1-154],Ex,E1
NAmes,6,None,0,TA,E1
StoneBr,5,None,0,Gd,E1
NWAmes,6,BrkFace,[155-308],TA,E1
Somerst,5,None,0,Ex,E1
Somerst,5,None,0,Ex,E1
CollgCr,5,None,0,Ex,E1
Somerst,5,None,0,Ex,E1
BrkSide,7,None,0,Ex,E1
CollgCr,5,None,0,Ex,E1
CollgCr,5,None,0,Ex,E1
CollgCr,5,BrkFace,[155-308],Ex,E1
NWAmes,5,None,0,Ex,E1
CollgCr,5,None,0,Ex,E1
CollgCr,5,BrkFace,[1-154],Ex,E1
NridgHt,5,BrkFace,[155-308],Ex,E1
Timber,5,BrkFace,[1-154],Ex,E1
NAmes,5,Stone,[1-154],Fa,E1
Mitchel,5,None,0,Ex,E1
Blmngtn,5,BrkFace,[1-154],Ex,E1
NWAmes,6,BrkFace,[1-154],Gd,E1
Somerst,5,None,0,Ex,E1
Crawfor,6,BrkFace,[309-462],Ex,E1
Veenker,8,None,0,TA,E1
CollgCr,5,BrkFace,[463-616],Ex,E1
Timber,5,BrkFace,[1-154],Ex,E1
NridgHt,5,BrkFace,[155-308],Ex,E1
CollgCr,5,Stone,[155-308],Ex,E1
SawyerW,5,None,0,Ex,E1
Crawfor,7,BrkFace,[463-616],TA,E1
NoRidge,5,BrkFace,[1-154],Gd,E1
Somerst,5,Stone,[309-462],Ex,E1
Crawfor,9,BrkFace,[155-308],Ex,E1
Gilbert,5,BrkFace,[155-308],Ex,E1
CollgCr,5,BrkFace,[155-308],Ex,E1
Crawfor,5,BrkFace,[309-462],Gd,E1
CollgCr,5,BrkFace,[155-308],Ex,E1
Crawfor,7,BrkFace,[1-154],Ex,E1
SawyerW,5,BrkFace,[155-308],Gd,E1
Edwards,8,None,0,Ex,E1
Somerst,5,Stone,[1-154],Ex,E1
Gilbert,5,None,[309-462],Ex,E1
CollgCr,5,BrkFace,[155-308],Ex,E1
NAmes,6,BrkFace,[309-462],Ex,E1
Somerst,5,None,0,Ex,E1
Somerst,5,None,0,Gd,E1
CollgCr,5,BrkFace,[1-154],Ex,E1
Somerst,6,None,0,Ex,E1
Timber,6,BrkFace,[617-770],TA,E1
CollgCr,5,BrkFace,[1-154],Ex,E1
Timber,6,None,0,Ex,E1
NWAmes,5,BrkFace,[155-308],Gd,E1
CollgCr,5,BrkFace,[155-308],Ex,E1
Gilbert,5,BrkFace,[155-308],Ex,E1
Crawfor,7,None,0,Ex,E1
NridgHt,5,Stone,[155-308],Ex,E2
Crawfor,7,None,0,Fa,E2
CollgCr,5,None,0,Ex,E2
CollgCr,5,BrkFace,[155-308],Ex,E2
Somerst,5,BrkFace,[1-154],Ex,E2
Somerst,5,BrkFace,[155-308],Ex,E2
CollgCr,5,BrkFace,[155-308],Ex,E2
Somerst,5,None,0,Ex,E2
CollgCr,5,None,0,Ex,E2
Crawfor,9,None,0,Ex,E2
Blmngtn,5,BrkFace,[1-154],Ex,E2
CollgCr,5,None,0,Ex,E2
Somerst,5,Stone,[155-308],Ex,E2
CollgCr,5,NA,0,Ex,E2
NAmes,7,None,0,Ex,E2
SawyerW,5,None,0,Ex,E2
StoneBr,7,None,0,Gd,E2
Crawfor,6,None,0,TA,E2
Crawfor,8,None,0,TA,E2
Timber,5,BrkFace,[1-154],Ex,E2
SawyerW,5,None,0,Ex,E2
Mitchel,5,None,0,Ex,E2
CollgCr,5,None,0,Ex,E2
CollgCr,5,BrkFace,[309-462],Ex,E2
Somerst,5,Stone,[1-154],Ex,E2
NAmes,7,BrkFace,[155-308],Ex,E2
Edwards,7,None,0,TA,E2
NAmes,5,None,0,Ex,E2
ClearCr,7,None,0,Ex,E2
Somerst,5,Stone,[1-154],Ex,E2
Somerst,5,Stone,[463-616],Ex,E2
CollgCr,5,Stone,[1-154],Ex,E2
Veenker,5,None,0,Ex,E2
Somerst,6,Stone,0,Ex,E2
NoRidge,5,BrkFace,[309-462],Ex,E2
Somerst,5,BrkFace,[617-770],Ex,E2
NridgHt,5,Stone,[155-308],Ex,E2
Crawfor,7,None,0,Gd,E2
Timber,5,None,0,Ex,E2
Somerst,5,None,0,Ex,E2
StoneBr,5,None,0,Ex,E2
Somerst,5,None,0,Ex,E2
Somerst,5,None,0,Ex,E2
NridgHt,5,BrkFace,[155-308],Ex,E2
CollgCr,5,BrkFace,[155-308],Ex,E2
NridgHt,5,Stone,[155-308],Ex,E2
CollgCr,5,None,0,Ex,E2
NridgHt,5,Stone,[617-770],Ex,E2
Crawfor,7,BrkFace,[1-154],Ex,E2
Gilbert,5,None,0,Ex,E2
NoRidge,5,BrkFace,[155-308],Ex,E2
NoRidge,5,BrkFace,[309-462],Ex,E2
CollgCr,5,BrkFace,[1-154],Ex,E2
SawyerW,5,BrkFace,[1-154],Ex,E2
Somerst,5,None,0,Ex,E2
Somerst,5,Stone,[1-154],Ex,E2
Somerst,5,None,0,Gd,E2
NridgHt,5,BrkFace,[463-616],Ex,E2
CollgCr,5,None,0,Ex,E2
Timber,5,BrkFace,[1-154],Ex,E2
Veenker,5,None,0,Ex,E2
Mitchel,5,BrkFace,[1-154],Ex,E2
NWAmes,7,BrkFace,[309-462],TA,E2
CollgCr,6,None,0,Ex,E2
NridgHt,5,BrkFace,[155-308],Ex,E2
Edwards,7,None,0,TA,E2
SawyerW,5,BrkFace,[1-154],Gd,E2
NridgHt,5,BrkFace,[155-308],Ex,E2
StoneBr,5,None,0,TA,E2
CollgCr,5,BrkFace,[155-308],Ex,E2
NridgHt,5,BrkFace,[155-308],Gd,E2
CollgCr,5,Stone,[155-308],Ex,E2
ClearCr,7,BrkCmn,[463-616],Gd,E2
StoneBr,5,None,0,Ex,E3
CollgCr,5,Stone,[155-308],Ex,E3
NridgHt,5,Stone,[1-154],Ex,E3
Timber,5,BrkFace,[155-308],Ex,E3
Timber,5,Stone,[1-154],Ex,E3
NridgHt,5,BrkFace,[155-308],Ex,E3
CollgCr,5,Stone,[155-308],Ex,E3
NoRidge,5,BrkFace,[309-462],Ex,E3
StoneBr,5,None,0,Ex,E3
CollgCr,5,BrkFace,[309-462],Ex,E3
Somerst,5,Stone,[155-308],Ex,E3
Crawfor,8,None,0,TA,E3
NoRidge,5,BrkFace,[155-308],Ex,E3
NoRidge,7,BrkFace,[309-462],Ex,E3
OldTown,9,None,0,Ex,E3
