BldgType,ExterQual,1stFlrSF,2ndFlrSF,BedroomAbvGr
1Fam,TA,[719-1077],0,2,C3
1Fam,TA,[719-1077],[809-1010],4,C3
TwnhsE,Gd,[719-1077],[607-808],3,C3
1Fam,TA,[719-1077],[203-404],3,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],[607-808],4,C3
TwnhsE,Gd,[719-1077],0,1,C3
2fmCon,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,2,C3
1Fam,TA,[719-1077],0,2,C3
1Fam,TA,[719-1077],[607-808],2,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,2,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],[405-606],4,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],[607-808],3,C3
TwnhsE,TA,[719-1077],0,1,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,3,C3
2fmCon,TA,[1078-1436],[1011-1212],4,C3
1Fam,TA,[719-1077],0,2,C3
TwnhsE,TA,[1078-1436],0,3,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[360-718],[607-808],3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],[607-808],3,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,3,C3
Duplex,TA,[719-1077],0,2,M1
1Fam,TA,[1078-1436],0,3,M1
Duplex,TA,[719-1077],[809-1010],4,M1
1Fam,Gd,[719-1077],0,3,M1
1Fam,TA,[1078-1436],[203-404],4,M1
TwnhsE,Gd,[719-1077],0,1,M1
Duplex,TA,[1437-1795],0,4,M1
1Fam,TA,[719-1077],0,2,M1
1Fam,TA,[1078-1436],[405-606],3,M1
1Fam,TA,[719-1077],0,3,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[1078-1436],0,2,M1
1Fam,TA,[719-1077],[405-606],4,M1
1Fam,TA,[1796-2154],0,4,M1
1Fam,TA,[1078-1436],[607-808],3,M1
1Fam,TA,[719-1077],[809-1010],4,M1
1Fam,TA,[719-1077],0,3,M1
1Fam,TA,[1078-1436],0,2,M1
1Fam,TA,[719-1077],[607-808],4,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[719-1077],0,2,M1
Duplex,TA,[719-1077],[809-1010],4,M1
1Fam,TA,[719-1077],0,3,M1
1Fam,TA,[719-1077],[405-606],3,M1
1Fam,TA,[1437-1795],0,4,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[719-1077],[607-808],3,M1
1Fam,TA,[719-1077],[607-808],3,M1
1Fam,TA,[1078-1436],0,2,M1
1Fam,TA,[1078-1436],0,2,M1
2fmCon,TA,[719-1077],[607-808],4,M1
2fmCon,TA,[1078-1436],0,2,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[1078-1436],[405-606],3,M1
1Fam,TA,[719-1077],[405-606],3,M1
1Fam,TA,[719-1077],[405-606],3,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[719-1077],0,2,M1
1Fam,TA,[1078-1436],0,2,M1
Duplex,TA,[1796-2154],0,6,M1
1Fam,TA,[719-1077],[405-606],3,M1
1Fam,TA,[719-1077],0,3,M1
1Fam,TA,[719-1077],0,3,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[1078-1436],0,2,M1
1Fam,TA,[719-1077],0,3,M1
Duplex,TA,[1437-1795],0,6,M1
Duplex,TA,[1078-1436],[1011-1212],6,M1
1Fam,TA,[719-1077],[405-606],1,M1
TwnhsE,TA,[719-1077],0,2,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[719-1077],[607-808],3,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[1078-1436],0,3,M1
TwnhsE,TA,[719-1077],0,2,M1
1Fam,TA,[719-1077],0,2,M1
Duplex,TA,[719-1077],0,0,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[719-1077],[809-1010],3,M1
TwnhsE,Gd,[719-1077],0,1,M1
TwnhsE,Gd,[360-718],[405-606],2,M1
TwnhsE,Gd,[719-1077],0,1,M1
1Fam,TA,[1437-1795],0,4,M1
1Fam,TA,[1078-1436],0,3,M1
1Fam,TA,[1078-1436],0,3,M1
Duplex,TA,[1437-1795],0,4,M1
1Fam,TA,[719-1077],0,0,M1
1Fam,TA,[1078-1436],0,3,M1
TwnhsE,TA,[719-1077],0,2,M1
Duplex,TA,[1078-1436],[809-1010],4,M1
TwnhsE,Gd,[360-718],[607-808],2,M1
1Fam,TA,[1078-1436],0,1,M1
Twnhs,TA,[719-1077],[405-606],3,M1
1Fam,TA,[719-1077],0,3,M2
1Fam,TA,[1078-1436],0,2,M2
1Fam,Gd,[1078-1436],0,3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,Gd,[719-1077],0,2,M2
1Fam,TA,[719-1077],0,3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[719-1077],0,3,M2
TwnhsE,Gd,[360-718],[405-606],2,M2
TwnhsE,Gd,[719-1077],0,1,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[360-718],[607-808],3,M2
1Fam,TA,[1078-1436],0,2,M2
1Fam,TA,[719-1077],0,3,M2
1Fam,TA,[1437-1795],0,3,M2
1Fam,TA,[719-1077],0,3,M2
1Fam,TA,[719-1077],0,3,M2
1Fam,TA,[1078-1436],0,3,M2
Duplex,TA,[1437-1795],0,4,M2
Twnhs,TA,[360-718],[809-1010],3,M2
TwnhsE,TA,[360-718],[405-606],2,M2
1Fam,TA,[719-1077],0,3,M2
TwnhsE,TA,[1078-1436],[1213-1414],5,M2
1Fam,TA,[719-1077],0,2,M2
1Fam,TA,[1078-1436],[405-606],3,M2
1Fam,TA,[719-1077],[809-1010],4,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[1437-1795],0,3,M2
1Fam,TA,[1078-1436],0,2,M2
TwnhsE,TA,[1078-1436],0,2,M2
TwnhsE,Gd,[1078-1436],0,2,M2
1Fam,TA,[719-1077],[405-606],4,M2
Twnhs,Gd,[719-1077],[809-1010],2,M2
1Fam,TA,[1078-1436],0,3,M2
Duplex,TA,[1078-1436],[1011-1212],5,M2
1Fam,TA,[719-1077],[405-606],3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,Gd,[360-718],[405-606],3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[719-1077],0,3,M2
Twnhs,Gd,[360-718],[607-808],3,M2
1Fam,TA,[719-1077],0,3,M2
1Fam,TA,[719-1077],0,2,M2
1Fam,TA,[1437-1795],0,3,M2
1Fam,TA,[360-718],[607-808],3,M2
1Fam,TA,[1078-1436],0,2,M2
2fmCon,TA,[1078-1436],0,2,M2
1Fam,TA,[1437-1795],0,3,M2
1Fam,TA,[719-1077],[405-606],3,M2
1Fam,TA,[1437-1795],0,4,M2
1Fam,TA,[1078-1436],[607-808],3,M2
1Fam,TA,[360-718],[607-808],4,M2
1Fam,TA,[360-718],[607-808],3,M2
1Fam,TA,[1078-1436],[607-808],3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[1437-1795],[809-1010],3,M2
1Fam,TA,[360-718],[607-808],3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,Gd,[1078-1436],0,2,M2
1Fam,TA,[719-1077],[607-808],4,M2
1Fam,Gd,[719-1077],[203-404],2,M2
1Fam,TA,[1437-1795],0,3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[360-718],[607-808],3,M2
1Fam,TA,[1078-1436],[607-808],5,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,Gd,[360-718],[607-808],3,M2
TwnhsE,TA,[1078-1436],0,2,M2
1Fam,TA,[719-1077],[607-808],3,M2
1Fam,TA,[1078-1436],0,3,M2
1Fam,TA,[719-1077],[809-1010],2,M2
1Fam,TA,[1078-1436],0,3,M3
1Fam,Gd,[719-1077],[607-808],3,M3
Twnhs,TA,[1078-1436],0,2,M3
TwnhsE,Gd,[360-718],[607-808],2,M3
1Fam,Gd,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,Gd,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],0,3,M3
Twnhs,Gd,[360-718],[607-808],3,M3
1Fam,TA,[719-1077],[405-606],3,M3
TwnhsE,TA,[1078-1436],0,2,M3
1Fam,TA,[1078-1436],0,1,M3
1Fam,TA,[360-718],[607-808],3,M3
1Fam,TA,[719-1077],[405-606],4,M3
TwnhsE,Gd,[1078-1436],0,2,M3
1Fam,TA,[1078-1436],[809-1010],3,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,TA,[719-1077],[809-1010],4,M3
1Fam,TA,[1078-1436],0,2,M3
2fmCon,TA,[1437-1795],0,3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,TA,[719-1077],[809-1010],4,M3
1Fam,TA,[719-1077],0,3,M3
1Fam,Gd,[1078-1436],0,3,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,TA,[1437-1795],0,3,M3
TwnhsE,Gd,[1078-1436],0,2,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],[607-808],4,M3
Twnhs,Gd,[719-1077],[607-808],3,M3
1Fam,Gd,[1078-1436],[607-808],4,M3
TwnhsE,TA,[719-1077],[607-808],3,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,Gd,[719-1077],[607-808],3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,Gd,[719-1077],[809-1010],3,M3
1Fam,TA,[719-1077],[809-1010],4,M3
1Fam,TA,[719-1077],[607-808],3,M3
TwnhsE,Gd,[360-718],[607-808],2,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,Gd,[360-718],[809-1010],3,M3
1Fam,Gd,[719-1077],[607-808],3,M3
Twnhs,Gd,[719-1077],[607-808],2,M3
1Fam,Gd,[1437-1795],0,3,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,Gd,[1437-1795],0,3,M3
1Fam,TA,[1437-1795],0,3,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,TA,[719-1077],[607-808],3,M3
Twnhs,Gd,[719-1077],[809-1010],2,M3
1Fam,TA,[1078-1436],0,2,M3
1Fam,TA,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],0,2,M3
1Fam,Gd,[1078-1436],0,3,M3
Twnhs,Gd,[719-1077],[607-808],3,M3
Twnhs,Gd,[719-1077],[607-808],3,M3
1Fam,Gd,[360-718],[607-808],3,M3
1Fam,TA,[719-1077],[607-808],3,M3
1Fam,Gd,[719-1077],[607-808],3,M3
1Fam,Gd,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],[607-808],3,M3
TwnhsE,Gd,[1078-1436],0,2,M3
1Fam,TA,[719-1077],[607-808],3,M3
Duplex,TA,[1078-1436],0,3,M3
1Fam,TA,[1078-1436],0,3,M3
TwnhsE,Gd,[1437-1795],0,2,M3
1Fam,TA,[1078-1436],0,3,M3
Twnhs,TA,[719-1077],[607-808],3,M4
1Fam,TA,[719-1077],[607-808],4,M4
1Fam,Gd,[719-1077],[607-808],3,M4
1Fam,TA,[719-1077],[607-808],3,M4
1Fam,TA,[1078-1436],0,3,M4
1Fam,TA,[2155-2513],0,3,M4
1Fam,TA,[719-1077],0,1,M4
1Fam,TA,[1437-1795],0,3,M4
1Fam,Gd,[719-1077],[607-808],3,M4
1Fam,TA,[1437-1795],0,3,M4
1Fam,TA,[1078-1436],0,2,M4
1Fam,TA,[1078-1436],0,3,M4
1Fam,TA,[719-1077],[607-808],3,M4
1Fam,TA,[1078-1436],0,3,M4
1Fam,TA,[1437-1795],0,3,M4
1Fam,TA,[719-1077],[607-808],3,M4
1Fam,TA,[719-1077],[607-808],3,M4
1Fam,TA,[1078-1436],0,3,M4
1Fam,TA,[1078-1436],0,3,M4
1Fam,Gd,[1078-1436],0,3,M4
1Fam,Gd,[1437-1795],0,3,M4
1Fam,Gd,[719-1077],[607-808],3,M4
1Fam,Gd,[719-1077],[809-1010],3,M4
1Fam,TA,[1078-1436],[607-808],4,M4
1Fam,Gd,[719-1077],[607-808],3,M4
1Fam,Ex,[2873-3231],[1415-1616],3,M4
1Fam,TA,[719-1077],[809-1010],3,M4
1Fam,TA,[1078-1436],[809-1010],3,M4
1Fam,Gd,[1078-1436],0,3,M4
1Fam,Gd,[719-1077],[809-1010],4,M4
1Fam,Gd,[1078-1436],0,3,M4
1Fam,TA,[1437-1795],0,3,M4
1Fam,TA,[1437-1795],0,3,M4
1Fam,Gd,[719-1077],[809-1010],3,M4
1Fam,Gd,[1078-1436],0,3,M4
1Fam,TA,[1437-1795],0,3,M4
1Fam,TA,[360-718],[607-808],3,M4
1Fam,TA,[719-1077],[809-1010],3,M4
1Fam,Gd,[360-718],[607-808],3,M4
1Fam,TA,[719-1077],[809-1010],3,M4
1Fam,Gd,[719-1077],[607-808],3,M4
1Fam,Gd,[1078-1436],0,3,M4
1Fam,Gd,[719-1077],[405-606],3,M4
1Fam,TA,[1796-2154],0,3,M4
1Fam,TA,[1437-1795],0,2,M4
1Fam,Gd,[1796-2154],0,2,M4
1Fam,Gd,[719-1077],[809-1010],3,M4
1Fam,Gd,[1437-1795],0,3,M4
1Fam,TA,[1437-1795],0,4,M4
1Fam,Gd,[1437-1795],0,3,M4
1Fam,Gd,[719-1077],[607-808],2,M4
TwnhsE,Gd,[1437-1795],0,2,M4
1Fam,TA,[1078-1436],[607-808],3,M4
1Fam,TA,[1078-1436],[809-1010],4,M4
TwnhsE,Gd,[1078-1436],0,2,M4
TwnhsE,Gd,[1437-1795],0,2,M4
1Fam,Gd,[719-1077],[809-1010],3,M4
TwnhsE,Gd,[1437-1795],0,2,M4
1Fam,TA,[719-1077],[607-808],3,M4
1Fam,TA,[1078-1436],[809-1010],4,M4
1Fam,Gd,[1078-1436],0,2,M4
1Fam,Gd,[1078-1436],0,2,M4
1Fam,TA,[1078-1436],0,2,M4
1Fam,Gd,[1078-1436],0,2,M4
1Fam,Gd,[1078-1436],[809-1010],3,M4
TwnhsE,Gd,[1078-1436],0,2,M4
1Fam,Gd,[719-1077],[1011-1212],4,M4
1Fam,Gd,[1078-1436],0,2,M4
1Fam,Gd,[719-1077],[809-1010],3,M4
1Fam,TA,[719-1077],[607-808],3,M4
TwnhsE,Gd,[1078-1436],0,1,M4
1Fam,TA,[1078-1436],[607-808],4,M4
1Fam,Gd,[360-718],[1415-1616],4,M4
TwnhsE,Gd,[1078-1436],0,1,E1
1Fam,Gd,[719-1077],[1213-1414],4,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[1078-1436],0,3,E1
1Fam,TA,[719-1077],[809-1010],3,E1
1Fam,TA,[1437-1795],[809-1010],3,E1
1Fam,Gd,[2514-2872],0,4,E1
1Fam,Gd,[719-1077],[607-808],3,E1
TwnhsE,Gd,[1078-1436],0,2,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[1078-1436],0,3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,2,E1
1Fam,TA,[1437-1795],0,3,E1
1Fam,Gd,[1078-1436],[809-1010],3,E1
1Fam,Gd,[1078-1436],0,2,E1
1Fam,TA,[1078-1436],[1011-1212],4,E1
TwnhsE,Gd,[1078-1436],0,2,E1
1Fam,TA,[1437-1795],0,2,E1
TwnhsE,Gd,[1078-1436],[809-1010],3,E1
1Fam,TA,[1437-1795],0,3,E1
1Fam,Gd,[1078-1436],0,2,E1
TwnhsE,Gd,[1078-1436],0,2,E1
1Fam,Gd,[719-1077],[809-1010],4,E1
1Fam,Gd,[719-1077],[607-808],3,E1
1Fam,TA,[719-1077],[607-808],3,E1
1Fam,TA,[719-1077],[809-1010],3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[719-1077],[1011-1212],4,E1
1Fam,TA,[1437-1795],0,3,E1
1Fam,TA,[719-1077],[1011-1212],3,E1
TwnhsE,Gd,[1437-1795],0,2,E1
1Fam,TA,[1078-1436],[809-1010],3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,TA,[1437-1795],0,3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,TA,[719-1077],[809-1010],3,E1
1Fam,Gd,[1078-1436],0,2,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,TA,[1078-1436],[809-1010],3,E1
1Fam,Gd,[1078-1436],[607-808],4,E1
1Fam,Ex,[1437-1795],0,2,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[719-1077],[1011-1212],3,E1
1Fam,Gd,[1078-1436],[809-1010],3,E1
1Fam,Gd,[1796-2154],0,3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[1078-1436],[1011-1212],4,E1
1Fam,TA,[1078-1436],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,TA,[1078-1436],[809-1010],4,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[719-1077],[809-1010],3,E1
1Fam,Gd,[1437-1795],0,2,E1
1Fam,Gd,[1078-1436],[809-1010],3,E1
2fmCon,TA,[1437-1795],[1-202],3,E1
1Fam,Gd,[1078-1436],[607-808],4,E1
1Fam,Gd,[1437-1795],0,3,E1
1Fam,Gd,[719-1077],[1213-1414],4,E1
1Fam,TA,[1796-2154],0,2,E1
Twnhs,Gd,[1078-1436],0,2,E2
1Fam,TA,[719-1077],[607-808],3,E2
1Fam,TA,[719-1077],[809-1010],3,E2
1Fam,Gd,[719-1077],[809-1010],3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
1Fam,Gd,[1078-1436],[607-808],3,E2
TwnhsE,Gd,[1437-1795],0,2,E2
1Fam,Gd,[719-1077],[809-1010],3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
1Fam,TA,[1796-2154],0,4,E2
