HouseStyle,Foundation,Electrical,FullBath,HalfBath
2Story,CBlock,SBrkr,1,1,C1
1Story,CBlock,FuseF,1,0,C1
1.5Fin,CBlock,SBrkr,1,0,C1
2Story,CBlock,SBrkr,2,0,C1
1.5Unf,BrkTil,SBrkr,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
1Story,PConc,FuseA,1,0,C1
1Story,CBlock,FuseA,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
1Story,CBlock,SBrkr,2,0,C1
1.5Fin,PConc,SBrkr,1,0,C1
1Story,CBlock,FuseA,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
2.5Unf,BrkTil,SBrkr,1,0,C1
1Story,Slab,SBrkr,2,0,C1
1Story,CBlock,FuseF,1,0,C1
1Story,BrkTil,SBrkr,1,0,C1
1.5Fin,Stone,SBrkr,1,0,C1
2Story,BrkTil,SBrkr,2,0,C1
1.5Fin,BrkTil,SBrkr,1,0,C1
1.5Fin,PConc,SBrkr,1,0,C1
1.5Fin,BrkTil,SBrkr,1,0,C1
1.5Fin,PConc,SBrkr,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
2.5Unf,PConc,FuseA,2,0,C1
2Story,CBlock,SBrkr,2,1,C1
2Story,BrkTil,FuseA,2,0,C1
1Story,BrkTil,SBrkr,1,0,C2
2Story,CBlock,SBrkr,1,0,C2
SLvl,CBlock,SBrkr,1,0,C2
2Story,CBlock,SBrkr,2,0,C2
2Story,Stone,SBrkr,2,0,C2
1Story,PConc,SBrkr,1,0,C2
1Story,CBlock,SBrkr,2,0,C2
1.5Fin,CBlock,SBrkr,1,1,C2
1Story,CBlock,SBrkr,1,0,C2
2Story,CBlock,SBrkr,1,0,C2
1Story,BrkTil,SBrkr,1,0,C2
1Story,PConc,FuseA,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1.5Unf,BrkTil,SBrkr,1,0,C2
1Story,CBlock,FuseA,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
2Story,PConc,SBrkr,1,1,C2
1Story,CBlock,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1Story,BrkTil,SBrkr,1,0,C2
1Story,PConc,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1.5Fin,BrkTil,SBrkr,2,0,C2
1Story,BrkTil,SBrkr,2,0,C2
1Story,CBlock,FuseA,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
2Story,BrkTil,SBrkr,2,0,C2
1.5Fin,CBlock,FuseA,1,1,C2
2Story,CBlock,SBrkr,1,1,C2
1Story,CBlock,FuseA,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1.5Fin,BrkTil,FuseA,1,0,C2
1Story,CBlock,FuseA,1,0,C2
1Story,Slab,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1.5Fin,CBlock,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1.5Fin,BrkTil,FuseA,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1.5Fin,CBlock,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1.5Fin,BrkTil,SBrkr,1,0,C2
1.5Fin,CBlock,SBrkr,2,0,C2
1.5Unf,BrkTil,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
2Story,CBlock,SBrkr,1,1,C2
SFoyer,CBlock,SBrkr,1,0,C2
2.5Fin,PConc,SBrkr,1,0,C2
1Story,Slab,SBrkr,2,0,C2
1Story,CBlock,SBrkr,2,0,C2
1.5Unf,PConc,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
2Story,CBlock,SBrkr,1,1,C2
1Story,CBlock,SBrkr,1,0,C2
1Story,BrkTil,SBrkr,1,0,C2
1.5Fin,BrkTil,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
1Story,PConc,SBrkr,1,0,C2
1.5Unf,BrkTil,FuseF,1,0,C2
1Story,CBlock,SBrkr,1,1,C2
1Story,CBlock,SBrkr,1,1,C2
1Story,CBlock,SBrkr,1,0,C2
2Story,BrkTil,SBrkr,2,0,C2
2Story,CBlock,SBrkr,1,1,C2
1Story,PConc,SBrkr,1,0,C2
1Story,CBlock,SBrkr,1,0,C2
SFoyer,CBlock,SBrkr,1,0,C2
1Story,PConc,SBrkr,1,0,C2
1Story,CBlock,SBrkr,2,0,C2
2Story,BrkTil,FuseA,1,0,C2
2Story,CBlock,SBrkr,1,1,C2
1Story,CBlock,SBrkr,2,0,C3
1Story,CBlock,SBrkr,1,1,C3
2Story,CBlock,SBrkr,2,0,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,2,0,C3
SLvl,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
1.5Fin,BrkTil,SBrkr,1,0,C3
1.5Fin,BrkTil,FuseF,1,1,C3
1.5Fin,CBlock,SBrkr,2,0,C3
1Story,PConc,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,1,C3
1Story,CBlock,SBrkr,1,0,C3
1.5Fin,CBlock,SBrkr,1,0,C3
2Story,PConc,SBrkr,1,1,C3
2Story,PConc,SBrkr,2,0,C3
1.5Fin,BrkTil,SBrkr,2,0,C3
1Story,CBlock,SBrkr,1,0,C3
SFoyer,CBlock,SBrkr,2,0,C3
1Story,CBlock,SBrkr,2,0,C3
1Story,CBlock,SBrkr,2,0,C3
2Story,BrkTil,SBrkr,2,0,C3
2Story,PConc,FuseF,1,1,C3
2.5Unf,CBlock,SBrkr,2,0,C3
1Story,CBlock,SBrkr,1,0,C3
1.5Fin,CBlock,SBrkr,1,1,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,1,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,1,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,1,C3
SFoyer,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
2.5Unf,BrkTil,SBrkr,1,1,C3
2Story,PConc,SBrkr,2,0,C3
2Story,PConc,SBrkr,2,0,C3
SLvl,CBlock,FuseF,1,0,C3
1Story,PConc,SBrkr,1,0,C3
1Story,BrkTil,SBrkr,1,0,C3
2Story,PConc,FuseA,1,1,C3
2Story,PConc,SBrkr,2,0,C3
1.5Fin,BrkTil,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
1.5Fin,BrkTil,FuseF,2,0,C3
1Story,PConc,SBrkr,1,0,C3
1Story,PConc,SBrkr,1,1,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
2Story,BrkTil,SBrkr,2,0,C3
1Story,PConc,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
1.5Fin,CBlock,FuseF,1,0,C3
SLvl,CBlock,SBrkr,1,0,C3
1.5Fin,CBlock,FuseA,1,0,C3
SFoyer,PConc,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,1,C3
1Story,CBlock,FuseA,1,0,C3
2.5Unf,BrkTil,SBrkr,2,0,C3
SFoyer,CBlock,SBrkr,1,0,C3
1Story,PConc,SBrkr,1,1,C3
1Story,PConc,SBrkr,1,1,C3
1Story,CBlock,SBrkr,1,0,C3
2Story,CBlock,SBrkr,1,1,C3
1Story,CBlock,SBrkr,1,0,C3
1.5Fin,CBlock,SBrkr,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
1Story,CBlock,FuseA,1,0,C3
1Story,CBlock,SBrkr,1,0,C3
SLvl,PConc,SBrkr,2,0,C3
SFoyer,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
2Story,CBlock,SBrkr,2,2,M1
1Story,CBlock,SBrkr,1,0,M1
1.5Fin,PConc,SBrkr,2,0,M1
1Story,PConc,SBrkr,1,0,M1
1Story,CBlock,SBrkr,2,0,M1
SFoyer,CBlock,SBrkr,1,0,M1
1.5Fin,BrkTil,SBrkr,2,1,M1
SFoyer,PConc,SBrkr,1,0,M1
SFoyer,CBlock,SBrkr,2,0,M1
1Story,BrkTil,SBrkr,1,0,M1
2Story,BrkTil,SBrkr,1,1,M1
1Story,CBlock,FuseA,2,0,M1
1.5Fin,CBlock,FuseA,1,1,M1
2Story,BrkTil,FuseF,1,1,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,FuseA,1,0,M1
1.5Fin,PConc,SBrkr,2,0,M1
1Story,PConc,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
2Story,CBlock,SBrkr,2,2,M1
1Story,CBlock,SBrkr,1,0,M1
1.5Fin,BrkTil,SBrkr,2,0,M1
1Story,Slab,FuseA,2,0,M1
1Story,CBlock,SBrkr,1,0,M1
2Story,BrkTil,SBrkr,1,0,M1
2Story,BrkTil,SBrkr,2,0,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
2Story,BrkTil,SBrkr,2,0,M1
SLvl,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
1.5Fin,CBlock,SBrkr,1,1,M1
1.5Fin,CBlock,FuseA,1,1,M1
1.5Fin,BrkTil,SBrkr,1,0,M1
1Story,PConc,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,FuseA,1,0,M1
1Story,CBlock,SBrkr,2,0,M1
1.5Fin,BrkTil,SBrkr,1,1,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,FuseA,1,0,M1
SLvl,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,2,0,M1
2Story,Slab,SBrkr,2,0,M1
1.5Fin,Wood,SBrkr,1,1,M1
1Story,CBlock,SBrkr,2,0,M1
SLvl,CBlock,SBrkr,1,0,M1
2Story,PConc,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,1,M1
1Story,CBlock,SBrkr,1,1,M1
1Story,CBlock,SBrkr,2,0,M1
1Story,CBlock,SBrkr,1,0,M1
SFoyer,CBlock,SBrkr,0,0,M1
1Story,PConc,SBrkr,1,1,M1
2.5Unf,BrkTil,SBrkr,1,0,M1
1Story,PConc,SBrkr,1,0,M1
2Story,PConc,SBrkr,2,1,M1
1Story,PConc,SBrkr,1,0,M1
1Story,CBlock,FuseA,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,1,0,M1
1Story,CBlock,SBrkr,2,0,M1
SLvl,CBlock,SBrkr,0,0,M1
SLvl,CBlock,SBrkr,1,0,M1
SLvl,PConc,SBrkr,1,0,M1
1.5Fin,CBlock,SBrkr,2,2,M1
2Story,PConc,SBrkr,2,0,M1
1Story,CBlock,SBrkr,1,1,M1
2Story,CBlock,SBrkr,2,1,M1
SLvl,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,1,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,1,M2
SFoyer,PConc,SBrkr,1,0,M2
SLvl,CBlock,SBrkr,2,0,M2
SFoyer,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,1,M2
1Story,CBlock,SBrkr,1,0,M2
2Story,PConc,SBrkr,2,1,M2
1Story,PConc,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,1,M2
2Story,CBlock,SBrkr,1,1,M2
1Story,CBlock,FuseA,1,0,M2
1Story,PConc,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,1,M2
1Story,CBlock,FuseA,1,1,M2
1Story,CBlock,SBrkr,2,0,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,2,0,M2
2Story,CBlock,SBrkr,2,1,M2
2Story,PConc,SBrkr,2,1,M2
1Story,CBlock,SBrkr,1,1,M2
2Story,CBlock,SBrkr,2,1,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,BrkTil,FuseA,2,0,M2
2Story,CBlock,SBrkr,2,1,M2
1Story,PConc,SBrkr,2,0,M2
SLvl,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,PConc,SBrkr,2,0,M2
1Story,PConc,SBrkr,2,0,M2
1.5Fin,BrkTil,SBrkr,1,1,M2
2Story,PConc,SBrkr,2,1,M2
1Story,CBlock,SBrkr,1,1,M2
2Story,CBlock,FuseA,2,0,M2
1.5Fin,BrkTil,SBrkr,1,1,M2
1Story,CBlock,FuseA,1,0,M2
2Story,PConc,SBrkr,1,0,M2
1Story,CBlock,FuseA,1,1,M2
SLvl,CBlock,SBrkr,1,0,M2
2Story,PConc,SBrkr,2,1,M2
1Story,PConc,SBrkr,1,0,M2
SFoyer,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,1,1,M2
2Story,PConc,SBrkr,2,1,M2
1Story,CBlock,SBrkr,1,1,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,CBlock,FuseA,2,0,M2
2Story,PConc,SBrkr,2,0,M2
1Story,CBlock,SBrkr,1,1,M2
SLvl,CBlock,SBrkr,2,1,M2
2Story,CBlock,SBrkr,1,1,M2
2Story,CBlock,SBrkr,2,1,M2
1.5Fin,CBlock,SBrkr,1,1,M2
1Story,CBlock,SBrkr,1,1,M2
2Story,BrkTil,SBrkr,1,1,M2
2Story,CBlock,SBrkr,1,1,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,PConc,SBrkr,2,0,M2
1.5Fin,CBlock,SBrkr,2,0,M2
1.5Fin,BrkTil,SBrkr,1,1,M2
1Story,CBlock,SBrkr,1,0,M2
1Story,CBlock,SBrkr,2,0,M2
2Story,BrkTil,SBrkr,2,0,M2
1.5Fin,CBlock,FuseA,1,0,M2
1Story,CBlock,SBrkr,1,0,M2
2Story,PConc,SBrkr,2,1,M2
1Story,PConc,SBrkr,2,0,M2
2Story,CBlock,SBrkr,1,1,M2
1Story,PConc,SBrkr,2,0,M2
2.5Unf,BrkTil,SBrkr,1,1,M2
1Story,CBlock,SBrkr,1,0,M3
2Story,PConc,SBrkr,2,1,M3
1Story,PConc,SBrkr,2,0,M3
2Story,PConc,SBrkr,2,1,M3
1Story,PConc,SBrkr,2,0,M3
SLvl,CBlock,SBrkr,1,0,M3
1Story,CBlock,SBrkr,1,1,M3
1Story,PConc,SBrkr,1,0,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,1,1,M3
1Story,PConc,SBrkr,2,0,M3
SFoyer,PConc,SBrkr,1,0,M3
2Story,PConc,SBrkr,2,1,M3
1.5Fin,CBlock,SBrkr,2,0,M3
1Story,PConc,SBrkr,2,0,M3
2Story,BrkTil,SBrkr,1,0,M3
SLvl,PConc,NA,2,1,M3
2Story,CBlock,SBrkr,1,1,M3
1Story,CBlock,SBrkr,2,0,M3
1Story,CBlock,SBrkr,1,0,M3
SLvl,CBlock,SBrkr,1,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,CBlock,SBrkr,2,0,M3
SLvl,CBlock,SBrkr,1,0,M3
1Story,PConc,SBrkr,2,0,M3
SLvl,PConc,SBrkr,2,1,M3
1Story,CBlock,SBrkr,1,1,M3
1Story,CBlock,SBrkr,1,1,M3
SFoyer,CBlock,SBrkr,2,0,M3
2Story,CBlock,SBrkr,2,1,M3
SLvl,CBlock,SBrkr,1,0,M3
1Story,CBlock,SBrkr,2,0,M3
2Story,CBlock,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
1.5Fin,CBlock,SBrkr,2,0,M3
2Story,PConc,SBrkr,2,1,M3
2Story,CBlock,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
SLvl,PConc,SBrkr,2,0,M3
2Story,PConc,SBrkr,2,1,M3
2Story,CBlock,SBrkr,1,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
1Story,CBlock,SBrkr,1,1,M3
2Story,CBlock,SBrkr,1,1,M3
SLvl,CBlock,SBrkr,1,1,M3
1Story,CBlock,SBrkr,2,0,M3
SLvl,CBlock,SBrkr,2,0,M3
SLvl,CBlock,SBrkr,2,0,M3
1Story,PConc,SBrkr,2,0,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
1Story,CBlock,SBrkr,2,0,M3
1Story,PConc,SBrkr,2,0,M3
1Story,PConc,SBrkr,1,1,M3
1Story,PConc,SBrkr,2,0,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
2Story,PConc,SBrkr,2,1,M3
1Story,PConc,SBrkr,2,0,M3
SLvl,CBlock,SBrkr,3,1,M3
1Story,PConc,SBrkr,2,0,M3
2Story,PConc,SBrkr,2,1,M3
1Story,CBlock,SBrkr,3,0,M3
1Story,PConc,SBrkr,2,0,M3
1Story,PConc,SBrkr,2,0,M3
1Story,CBlock,SBrkr,2,0,M3
2Story,PConc,SBrkr,2,1,M4
2.5Fin,PConc,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
2Story,CBlock,SBrkr,2,1,M4
SLvl,PConc,SBrkr,2,0,M4
1Story,CBlock,SBrkr,2,0,M4
SLvl,CBlock,SBrkr,1,0,M4
1Story,CBlock,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
1Story,CBlock,SBrkr,2,0,M4
1Story,CBlock,SBrkr,2,0,M4
1Story,CBlock,SBrkr,2,0,M4
2Story,PConc,FuseA,1,0,M4
SLvl,PConc,SBrkr,1,0,M4
1Story,CBlock,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
1Story,CBlock,SBrkr,2,0,M4
1Story,CBlock,SBrkr,1,0,M4
1Story,PConc,SBrkr,2,0,M4
1Story,CBlock,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
1.5Fin,PConc,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
2Story,PConc,SBrkr,3,1,M4
2Story,PConc,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
2Story,CBlock,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
1Story,CBlock,SBrkr,2,0,M4
1Story,CBlock,SBrkr,1,1,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
SLvl,CBlock,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
2Story,CBlock,FuseA,1,1,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
1.5Fin,BrkTil,SBrkr,1,1,M4
1Story,CBlock,SBrkr,2,0,M4
1Story,PConc,SBrkr,1,1,M4
1Story,CBlock,SBrkr,2,1,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
1Story,CBlock,SBrkr,2,0,M4
1Story,PConc,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
2.5Fin,BrkTil,SBrkr,2,0,M4
2Story,CBlock,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
1Story,PConc,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
2Story,CBlock,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
1Story,PConc,SBrkr,2,0,M4
SLvl,PConc,SBrkr,1,1,M4
1Story,PConc,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
1Story,PConc,SBrkr,2,0,M4
2Story,PConc,SBrkr,2,1,M4
2Story,CBlock,SBrkr,2,1,M4
1Story,PConc,SBrkr,1,1,M4
2Story,CBlock,SBrkr,2,1,M4
SFoyer,Slab,SBrkr,3,0,M4
1Story,PConc,SBrkr,1,1,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1.5Fin,CBlock,SBrkr,3,0,E1
1Story,PConc,SBrkr,3,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
1Story,CBlock,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
2Story,CBlock,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
1Story,CBlock,SBrkr,1,0,E1
2Story,CBlock,SBrkr,2,0,E1
1Story,CBlock,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
1.5Fin,BrkTil,FuseA,1,1,E1
2Story,PConc,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,CBlock,SBrkr,1,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
2Story,CBlock,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
1Story,CBlock,SBrkr,2,0,E1
1Story,CBlock,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,0,E1
1Story,PConc,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
1.5Fin,CBlock,SBrkr,1,1,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,1,E1
1Story,CBlock,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
1Story,CBlock,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,CBlock,SBrkr,1,0,E1
2Story,CBlock,SBrkr,2,1,E1
2Story,CBlock,SBrkr,3,0,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
2Story,CBlock,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,3,0,E1
1Story,CBlock,SBrkr,2,1,E1
2Story,PConc,SBrkr,2,1,E1
1.5Fin,CBlock,SBrkr,2,0,E1
1.5Fin,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,2,0,E1
2Story,PConc,SBrkr,2,1,E1
1Story,PConc,SBrkr,1,0,E1
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,1,0,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
2Story,BrkTil,SBrkr,1,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
1Story,CBlock,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,0,E2
2Story,BrkTil,FuseA,2,1,E2
2Story,BrkTil,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
1.5Fin,PConc,SBrkr,1,1,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,0,E2
SLvl,CBlock,SBrkr,2,1,E2
1Story,CBlock,SBrkr,2,0,E2
1Story,CBlock,SBrkr,2,1,E2
2Story,CBlock,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,1,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
1.5Fin,CBlock,SBrkr,1,1,E2
2Story,Wood,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
