Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,,
387,50,RL,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3,1910,1990,Gambrel,CompShg,Wd Sdng,VinylSd,None,0,TA,Fa,PConc,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],GasA,TA,Y,SBrkr,[360-718],[405-606],0,[1041-1560],0,0,1,0,5,1,TA,8,Typ,0,NA,NA,0,NA,0,0,NA,NA,N,0,[119-177],0,0,0,0,NA,NA,NA,0,5,2006,WD,AdjLand,C1,81000,
435,180,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0,TA,Gd,CBlock,Gd,TA,Av,ALQ,[253-504],Unf,0,[1-260],[357-712],GasA,Gd,Y,SBrkr,[360-718],0,0,[521-1040],1,0,1,0,1,1,TA,3,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,[83-164],0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,C1,81000,
342,20,RH,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,[521-780],[713-1068],GasA,Gd,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,2,1,TA,4,Typ,0,NA,CarPort,1950,Unf,1,[152-302],TA,TA,N,[247-328],0,[1-37],0,0,0,NA,NA,NA,0,9,2009,WD,Normal,C1,82000,
309,30,RL,0,[1-23917],Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,BLQ,[253-504],Unf,0,[521-780],[713-1068],GasA,Ex,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,1,1,TA,4,Typ,0,NA,Detchd,1960,Unf,2,[454-604],TA,TA,Y,[83-164],0,0,0,0,0,NA,NA,NA,0,3,2009,WD,Normal,C1,82500,
1324,30,RL,[43-63],[1-23917],Pave,NA,Reg,HLS,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,4,7,1940,1950,Hip,CompShg,VinylSd,VinylSd,None,0,Fa,TA,CBlock,TA,TA,No,LwQ,[253-504],Unf,0,[1-260],[357-712],GasA,Gd,Y,SBrkr,[360-718],0,0,[521-1040],0,0,1,0,2,1,Fa,5,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,[83-164],0,0,0,0,0,NA,NA,NA,0,12,2009,WD,Normal,C1,82500,
1379,160,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,[309-462],TA,TA,CBlock,TA,Fa,No,BLQ,[253-504],Unf,0,[1-260],[357-712],GasA,TA,Y,SBrkr,[360-718],[405-606],0,[521-1040],0,0,1,1,2,1,TA,5,Typ,0,NA,Detchd,1970,Unf,1,[152-302],TA,TA,Y,[1-82],0,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,C1,83000,
1036,20,RL,0,[1-23917],Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,3,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,Slab,NA,NA,NA,NA,0,NA,0,0,0,GasA,Ex,N,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1950,Unf,1,[152-302],TA,TA,N,[165-246],0,0,0,0,0,NA,NA,NA,0,1,2009,WD,Normal,C1,84000,
650,180,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,6,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Av,BLQ,[1-252],GLQ,[379-504],0,[357-712],GasA,Gd,Y,SBrkr,[360-718],0,0,[521-1040],1,0,1,0,1,1,TA,3,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,12,2007,WD,Normal,C1,84500,
1454,20,RL,[85-105],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,[1041-1300],[1069-1424],GasA,Ex,Y,SBrkr,[1078-1436],0,0,[1041-1560],0,0,1,0,3,1,TA,6,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,[1-82],[1-59],0,0,0,0,NA,NA,NA,0,7,2006,WD,Abnorml,C1,84500,
345,160,RM,[22-42],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,No,Rec,[1-252],BLQ,[127-252],[1-260],[357-712],GasA,TA,Y,SBrkr,[360-718],[405-606],0,[1041-1560],0,0,1,1,3,1,TA,4,Typ,0,NA,Attchd,1970,Unf,1,[303-453],TA,TA,Y,[165-246],0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,C1,85000,
977,30,RL,[43-63],[1-23917],Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,4,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,[261-520],[357-712],GasA,TA,Y,FuseA,[719-1077],0,0,[521-1040],0,0,1,0,2,1,Fa,4,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2006,WD,Normal,C1,85500,
326,45,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Av,BLQ,[1-252],Unf,0,[521-780],[713-1068],GasA,Po,N,FuseF,[719-1077],0,0,[521-1040],0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1940,Unf,2,[303-453],TA,TA,Y,0,0,[223-259],0,0,0,NA,NA,NA,0,12,2007,WD,Normal,C1,87000,
677,70,RM,[43-63],[1-23917],Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,2,1900,1950,Gable,CompShg,AsbShng,Stucco,None,0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,[1041-1300],[1069-1424],GasW,Fa,N,SBrkr,[1078-1436],[607-808],0,[1561-2080],1,0,2,0,4,2,TA,8,Min2,0,NA,2Types,1920,Unf,3,[756-906],Fa,Fa,N,0,0,[75-111],0,0,0,NA,NA,NA,0,5,2006,WD,Normal,C1,87000,
1023,50,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,LwQ,[253-504],Unf,0,[521-780],[713-1068],GasA,Gd,Y,FuseA,[719-1077],[203-404],0,[1041-1560],0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,1950,Unf,1,[152-302],Fa,Fa,Y,0,0,[186-222],0,0,0,NA,NA,NA,0,3,2007,WD,Normal,C1,87000,
288,20,RL,0,[1-23917],Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,4,1970,1970,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,[505-756],Unf,0,[1-260],[713-1068],GasA,TA,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,3,1,TA,5,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,C1,88000,
913,30,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Rec,[253-504],Unf,0,[261-520],[713-1068],GasA,TA,N,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,3,1,TA,6,Min1,0,NA,Detchd,1920,Unf,1,[303-453],TA,TA,Y,0,0,[112-148],0,[93-138],0,NA,MnPrv,Shed,[1-1723],7,2006,WD,Abnorml,C1,88000,
1008,160,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,TA,TA,No,BLQ,[253-504],LwQ,[253-378],0,[357-712],GasA,TA,Y,SBrkr,[360-718],[405-606],0,[1041-1560],0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1970,RFn,1,[152-302],TA,TA,Y,[165-246],0,0,0,0,0,NA,NA,NA,0,8,2009,WD,Normal,C1,88000,
697,30,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,CBlock,TA,TA,No,LwQ,[505-756],Unf,0,0,[357-712],GasA,Gd,Y,SBrkr,[360-718],0,0,[521-1040],0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1920,Unf,1,[152-302],TA,TA,Y,0,0,[112-148],0,0,0,NA,NA,NA,0,6,2006,WD,Normal,C1,89000,
236,160,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,[463-616],TA,TA,CBlock,TA,TA,No,ALQ,[253-504],Unf,0,[1-260],[357-712],GasA,TA,Y,SBrkr,[360-718],[405-606],0,[521-1040],0,0,1,1,2,1,TA,5,Typ,0,NA,Detchd,1970,Unf,1,[152-302],TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,C1,89500,
1413,90,RL,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,4,5,1940,1950,Gable,CompShg,BrkFace,Stone,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,Wall,Fa,N,FuseF,[719-1077],0,0,[521-1040],0,0,2,0,2,2,TA,6,Typ,0,NA,Detchd,1950,Unf,2,[303-453],TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,C1,90000,
999,30,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,4,1920,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,[781-1040],[713-1068],GasA,Fa,N,SBrkr,[719-1077],0,0,[1041-1560],0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1920,Unf,1,[152-302],TA,Fa,P,0,[60-118],[38-74],0,0,0,NA,NA,NA,0,5,2006,WD,Normal,C1,91000,
1073,50,RL,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,3,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Fa,Fa,Mn,Unf,0,Unf,0,[781-1040],[713-1068],GasA,Fa,Y,FuseA,[719-1077],[405-606],0,[1041-1560],1,1,1,0,4,1,TA,7,Typ,1,TA,Detchd,1950,Unf,1,[152-302],TA,TA,P,0,0,0,0,0,0,NA,NA,NA,0,8,2006,WD,Normal,C1,91500,
1220,160,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1970,1970,Gable,CompShg,CemntBd,CmentBd,BrkFace,[155-308],TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],GasA,TA,Y,SBrkr,[360-718],[405-606],0,[1041-1560],0,0,1,1,3,1,TA,7,Typ,0,NA,NA,0,NA,0,0,NA,NA,N,[165-246],0,0,0,0,0,NA,NA,NA,0,4,2006,WD,Abnorml,C1,91500,
1091,90,RL,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1950,1950,Gable,CompShg,BrkFace,BrkFace,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,Wall,Fa,N,FuseA,[719-1077],0,0,[521-1040],0,0,2,0,2,2,TA,6,Typ,0,NA,Detchd,1980,Unf,2,[303-453],TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,C1,92900,
822,20,RM,[43-63],[1-23917],Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Fa,TA,CBlock,Fa,TA,No,Unf,0,Unf,0,[781-1040],[713-1068],GasA,TA,N,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,2,1,TA,4,Min2,0,NA,Detchd,1970,Unf,2,[454-604],TA,TA,Y,0,[1-59],[112-148],0,0,0,NA,NA,NA,0,2,2009,WD,Normal,C1,93000,
1180,20,RL,[64-84],[1-23917],Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,GasA,Gd,Y,SBrkr,[1078-1436],0,0,[1041-1560],0,0,1,0,3,1,TA,5,Min2,1,Gd,NA,0,NA,0,0,NA,NA,N,0,[1-59],[186-222],0,0,0,NA,NA,NA,0,4,2006,WD,Normal,C1,93000,
